time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,66865.0,552467.0,19687.0,75.0,67.0
1,56326.0,470791.0,3829.0,0.0,0.0
2,23852.0,83603.0,4048.0,0.0,0.0
3,60451.0,49.0,4142.0,48.0,22.0
4,57728.0,14.0,3800.0,0.0,0.0
5,49928.0,8.0,3800.0,0.0,0.0
6,39973.0,6.0,3800.0,0.0,0.0
7,45883.0,8.0,3792.0,0.0,0.0
8,19211.0,4.0,3796.0,0.0,0.0
9,50929.0,13.0,3804.0,0.0,1.0
10,47805.0,22.0,3800.0,0.0,0.0
11,56636.0,20.0,97972.0,1098.0,1079.0
12,53576.0,32.0,4090.0,138.0,116.0
13,54557.0,81.0,55171.0,232.0,200.0
14,47288.0,29.0,3986.0,0.0,1.0
15,15708.0,10.0,7266.0,14.0,6.0
16,45792.0,21.0,4124.0,0.0,0.0
17,46914.0,25.0,4063.0,0.0,0.0
18,54161.0,53.0,4125.0,0.0,2.0
19,47157.0,41.0,4166.0,0.0,0.0
20,48842.0,32.0,4148.0,0.0,0.0
21,50888.0,78.0,89133.0,386.0,330.0
22,47134.0,23.0,3109.0,0.0,0.0
23,,,,,
