time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,38778.0,25.0,49525.0,211.0,183.0
1,59973.0,21.0,71536.0,311.0,267.0
2,6039.0,260994.0,3940.0,0.0,0.0
3,80261.0,703630.0,3696.0,0.0,0.0
4,68812.0,171236.0,3796.0,0.0,0.0
5,6549.0,0.0,3800.0,0.0,0.0
6,70702.0,18.0,3796.0,0.0,0.0
7,52777.0,25.0,3796.0,0.0,0.0
8,22081.0,0.0,3800.0,0.0,0.0
9,69782.0,38.0,3796.0,0.0,0.0
10,30470.0,25.0,30505.0,119.0,258.0
11,62631.0,76.0,75825.0,1109.0,956.0
12,58512.0,91.0,102139.0,696.0,590.0
13,62677.0,63.0,3644.0,0.0,0.0
14,59558.0,70.0,3636.0,0.0,0.0
15,31302.0,45.0,3600.0,0.0,0.0
16,35060.0,24.0,3600.0,0.0,0.0
17,61329.0,72.0,3636.0,0.0,0.0
18,19848.0,40.0,1928.0,0.0,0.0
19,3195.0,5.0,68.0,0.0,0.0
