time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,20182.0,2.0,2732.0,0.0,0.0
1,51182.0,16.0,3731.0,0.0,0.0
2,52551.0,46.0,71999.0,323.0,266.0
3,52811.0,27.0,3800.0,0.0,1.0
4,22393.0,16.0,3800.0,0.0,0.0
5,35763.0,7.0,3804.0,0.0,0.0
6,51093.0,17.0,3800.0,0.0,0.0
7,50616.0,32.0,3800.0,0.0,0.0
8,134120.0,484.0,3800.0,0.0,148.0
9,106108.0,55.0,3800.0,0.0,0.0
10,38825.0,17.0,29072.0,110.0,208.0
11,48903.0,32.0,107069.0,1599.0,1337.0
12,63397.0,26.0,3644.0,0.0,1.0
13,62006.0,20.0,3644.0,0.0,0.0
14,31779.0,16.0,3604.0,0.0,0.0
15,38270.0,3.0,3616.0,0.0,0.0
16,63615.0,14.0,3644.0,0.0,0.0
17,46270.0,18.0,3620.0,0.0,0.0
18,25862.0,2.0,3600.0,0.0,0.0
19,67378.0,24.0,3652.0,0.0,0.0
20,46527.0,20.0,3624.0,0.0,0.0
21,26796.0,0.0,3600.0,0.0,0.0
22,67939.0,20.0,3871.0,0.0,0.0
23,36775.0,8.0,4180.0,0.0,0.0
