time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,68648.0,67.0,70246.0,301.0,258.0
1,5986.0,0.0,3814.0,0.0,0.0
2,64221.0,71.0,3768.0,0.0,0.0
3,64973.0,58.0,3780.0,0.0,0.0
4,6527.0,0.0,3756.0,0.0,0.0
5,64888.0,62.0,3768.0,0.0,0.0
6,57104.0,52.0,3768.0,0.0,0.0
7,17366.0,23.0,3768.0,0.0,0.0
8,190655.0,582.0,3788.0,0.0,171.0
9,70389.0,45.0,48896.0,214.0,315.0
10,61640.0,52.0,4561.0,0.0,0.0
11,57697.0,320076.0,3936.0,561.0,459.0
12,41055.0,456017.0,3792.0,0.0,0.0
13,21071.0,169465.0,3780.0,0.0,0.0
14,57402.0,28.0,3772.0,0.0,0.0
15,57023.0,26.0,3772.0,0.0,0.0
16,58356.0,33.0,3768.0,0.0,1.0
17,20834.0,13.0,3764.0,0.0,0.0
18,43005.0,15.0,3772.0,0.0,0.0
19,59075.0,29.0,3772.0,0.0,0.0
20,59104.0,28.0,3768.0,0.0,0.0
21,3294.0,1.0,1916.0,0.0,0.0
22,,,,,
23,,,,,
