time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,102889.0,167910.0,35385.0,147.0,119.0
1,188661.0,679134.0,3702.0,0.0,1.0
2,79873.0,189703.0,3820.0,0.0,0.0
3,79477.0,21.0,3799.0,0.0,0.0
4,71790.0,17.0,3800.0,0.0,0.0
5,58382.0,20.0,3800.0,0.0,2.0
6,16710.0,2.0,3796.0,0.0,0.0
7,69559.0,14.0,3800.0,0.0,0.0
8,68842.0,16.0,3800.0,0.0,0.0
9,6544.0,3.0,3737.0,642.0,531.0
10,71371.0,52.0,72666.0,314.0,266.0
11,80756.0,93.0,75437.0,979.0,922.0
12,5796.0,0.0,3568.0,0.0,0.0
13,70979.0,71.0,3748.0,0.0,0.0
14,71841.0,39.0,4500.0,0.0,1.0
15,6445.0,0.0,3572.0,0.0,0.0
16,70551.0,27.0,3656.0,0.0,0.0
17,37210.0,26.0,3417.0,0.0,0.0
18,38115.0,5.0,3620.0,0.0,0.0
19,69386.0,22.0,3656.0,0.0,0.0
20,5988.0,0.0,3568.0,0.0,0.0
21,70021.0,32.0,3648.0,0.0,0.0
22,66238.0,26.0,3644.0,0.0,0.0
23,10285.0,1.0,3572.0,0.0,0.0
