time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,49953.0,49.0,4085.0,0.0,1.0
1,26801.0,13.0,4259.0,0.0,0.0
2,49402.0,41.0,3696.0,0.0,0.0
3,54351.0,55.0,3804.0,0.0,0.0
4,46686.0,37.0,3796.0,0.0,0.0
5,38964.0,38.0,3800.0,0.0,0.0
6,30237.0,13.0,3800.0,0.0,0.0
7,35293.0,17.0,3800.0,0.0,0.0
8,49244.0,37.0,3798.0,0.0,0.0
9,45686.0,24.0,3800.0,0.0,0.0
10,49032.0,34.0,3736.0,0.0,0.0
11,44394.0,26.0,3624.0,0.0,0.0
12,33857.0,25.0,96687.0,422.0,509.0
13,17670.0,4.0,3864.0,0.0,0.0
14,50569.0,40.0,27531.0,627.0,524.0
15,47129.0,54.0,36334.0,181.0,155.0
16,76512.0,521974.0,61070.0,312.0,209.0
17,42867.0,458076.0,3795.0,0.0,0.0
18,64552.0,82970.0,4217.0,56.0,16.0
19,44765.0,283.0,3676.0,0.0,0.0
20,63487.0,60.0,3654.0,0.0,0.0
21,187888.0,374.0,3768.0,0.0,0.0
22,65212.0,7.0,3652.0,0.0,0.0
23,58728.0,18.0,3636.0,0.0,0.0
