time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,27865.0,3.0,3600.0,0.0,0.0
1,76939.0,33.0,3664.0,0.0,0.0
2,5709.0,4.0,3572.0,0.0,0.0
3,74960.0,60.0,89872.0,407.0,334.0
4,37343.0,74.0,3800.0,0.0,1.0
5,44248.0,11.0,3796.0,0.0,0.0
6,72828.0,44.0,3800.0,0.0,2.0
7,6112.0,0.0,3532.0,0.0,0.0
8,70624.0,32.0,3800.0,0.0,0.0
9,6560.0,0.0,3796.0,0.0,0.0
10,69688.0,30.0,3800.0,0.0,0.0
11,41286.0,26.0,3796.0,0.0,0.0
12,44855.0,22.0,27258.0,101.0,234.0
13,74147.0,82.0,83445.0,343.0,301.0
14,5501.0,0.0,3564.0,0.0,0.0
15,82293.0,50.0,4128.0,0.0,0.0
16,70888.0,252.0,598178.0,3098.0,2557.0
17,47132.0,248.0,900333.0,5289.0,4221.0
18,92790.0,394.0,377885.0,1909.0,1412.0
19,61463.0,49.0,4063.0,0.0,0.0
20,103258.0,560571.0,3933.0,0.0,0.0
21,6044.0,418015.0,73868.0,322.0,271.0
22,103796.0,42.0,3886.0,0.0,0.0
23,6237.0,1.0,20924.0,77.0,66.0
