time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,36932.0,2.0,4035.0,0.0,0.0
1,66146.0,13.0,4010.0,0.0,1.0
2,62739.0,339.0,183835.0,862.0,680.0
3,6023.0,152.0,3712.0,4.0,0.0
4,66410.0,31.0,3800.0,0.0,0.0
5,65683.0,15.0,3800.0,0.0,0.0
6,7305.0,0.0,3796.0,0.0,0.0
7,65604.0,15.0,3801.0,0.0,0.0
8,48631.0,17.0,3800.0,0.0,0.0
9,22783.0,3.0,3804.0,0.0,0.0
10,62779.0,9.0,3800.0,0.0,0.0
11,54865.0,30.0,48976.0,207.0,324.0
12,44095.0,85.0,69178.0,363.0,312.0
13,24704.0,3.0,3691.0,0.0,0.0
14,18553.0,29.0,3670.0,573.0,472.0
15,59604.0,13.0,3644.0,0.0,0.0
16,110313.0,73.0,4474.0,49.0,35.0
17,63580.0,12.0,4318.0,0.0,0.0
18,56124.0,116.0,3628.0,0.0,2.0
19,21590.0,19.0,3606.0,0.0,1.0
20,54732.0,11.0,4135.0,0.0,0.0
21,11768.0,10.0,4051.0,0.0,0.0
22,85983.0,39.0,95413.0,420.0,357.0
23,190116.0,548.0,100240.0,440.0,506.0
