time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,5854.0,0.0,3881.0,0.0,0.0
1,63117.0,54.0,3970.0,0.0,0.0
2,62329.0,94.0,76680.0,334.0,282.0
3,15882.0,24.0,3800.0,0.0,0.0
4,52383.0,33.0,3800.0,0.0,0.0
5,61077.0,56.0,3800.0,0.0,0.0
6,32759.0,28.0,3800.0,0.0,0.0
7,32550.0,10.0,3800.0,0.0,0.0
8,61158.0,42.0,3800.0,0.0,0.0
9,46067.0,29.0,3800.0,0.0,0.0
10,6402.0,0.0,3800.0,0.0,0.0
11,66197.0,56.0,26044.0,929.0,923.0
12,47812.0,31.0,3628.0,0.0,0.0
13,60416.0,50.0,3632.0,0.0,0.0
14,50862.0,41.0,3632.0,0.0,0.0
15,5846.0,0.0,3564.0,0.0,0.0
16,66707.0,76.0,3648.0,1.0,0.0
17,50881.0,55.0,3628.0,0.0,0.0
18,10812.0,11.0,3572.0,0.0,0.0
19,61061.0,47.0,3640.0,0.0,0.0
20,54130.0,52.0,3624.0,0.0,0.0
21,62004.0,71.0,3472.0,0.0,0.0
22,10050.0,2.0,3576.0,0.0,0.0
23,60243.0,69.0,3640.0,0.0,0.0
