time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,76729.0,112.0,3932.0,0.0,9.0
1,185497.0,487.0,3901.0,0.0,63.0
2,27551.0,1.0,4004.0,0.0,0.0
3,75950.0,462863.0,3589.0,0.0,1.0
4,66053.0,563353.0,3724.0,0.0,0.0
5,6529.0,84387.0,3800.0,0.0,0.0
6,67811.0,31.0,3800.0,0.0,0.0
7,65842.0,38.0,3800.0,0.0,0.0
8,6598.0,0.0,3800.0,0.0,0.0
9,63714.0,19.0,3796.0,0.0,0.0
10,62152.0,27.0,3800.0,0.0,0.0
11,73525.0,33.0,51190.0,203.0,296.0
12,6135.0,1.0,60083.0,262.0,228.0
13,75701.0,11.0,39337.0,169.0,145.0
14,47875.0,12.0,3595.0,810.0,650.0
15,24006.0,268.0,25688.0,109.0,197.0
16,66115.0,643.0,142241.0,651.0,516.0
17,50033.0,200.0,32409.0,189.0,145.0
18,62108.0,267.0,3667.0,0.0,0.0
19,53078.0,72.0,3708.0,0.0,0.0
20,72065.0,102.0,25776.0,99.0,86.0
21,8261.0,144.0,34642.0,143.0,123.0
22,61358.0,30.0,3708.0,0.0,0.0
23,71947.0,148.0,128746.0,576.0,489.0
