time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,48870.0,64.0,71519.0,326.0,277.0
1,53599.0,40.0,3808.0,0.0,0.0
2,97996.0,447.0,3804.0,0.0,108.0
3,115895.0,139.0,3800.0,0.0,0.0
4,53888.0,38.0,3800.0,0.0,0.0
5,43976.0,24.0,3800.0,0.0,0.0
6,45068.0,33.0,3800.0,0.0,0.0
7,46022.0,26.0,3800.0,0.0,0.0
8,42467.0,22.0,3800.0,0.0,0.0
9,10276.0,9.0,3800.0,0.0,0.0
10,53915.0,31.0,3768.0,0.0,0.0
11,28655.0,8.0,3730.0,700.0,572.0
12,52073.0,46.0,27792.0,106.0,91.0
13,44671.0,23.0,4274.0,0.0,104.0
14,47376.0,41.0,27622.0,106.0,133.0
15,49346.0,38.0,3624.0,0.0,0.0
16,45358.0,46.0,3620.0,0.0,1.0
17,14292.0,16.0,3576.0,0.0,0.0
18,44293.0,31.0,3616.0,0.0,0.0
19,42338.0,33.0,3592.0,417.0,352.0
20,50200.0,46.0,3624.0,0.0,0.0
21,47061.0,34.0,3624.0,0.0,0.0
22,50726.0,62.0,3628.0,0.0,1.0
23,28119.0,34.0,3596.0,0.0,0.0
