time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,101965.0,155.0,16439.0,112.0,57.0
1,6168.0,0.0,3803.0,0.0,0.0
2,88027.0,79.0,3796.0,1.0,2.0
3,39492.0,34.0,3806.0,0.0,0.0
4,44400.0,18.0,3796.0,0.0,0.0
5,75536.0,48.0,3800.0,0.0,0.0
6,6422.0,0.0,3796.0,0.0,0.0
7,72439.0,32.0,3800.0,0.0,1.0
8,118195.0,424.0,3800.0,0.0,89.0
9,157155.0,261.0,3800.0,0.0,35.0
10,16082.0,2.0,3882.0,569.0,476.0
11,75170.0,118.0,109418.0,493.0,563.0
12,67552.0,73.0,80796.0,755.0,636.0
13,5425.0,0.0,3568.0,0.0,0.0
14,74236.0,99.0,3656.0,0.0,0.0
15,63760.0,113.0,3640.0,0.0,1.0
16,14655.0,13.0,13207.0,43.0,36.0
17,70666.0,105.0,3660.0,0.0,0.0
18,57014.0,61.0,3632.0,0.0,0.0
19,76483.0,102.0,3656.0,0.0,1.0
20,28414.0,44.0,3700.0,0.0,1.0
21,41387.0,29.0,4540.0,0.0,0.0
22,30432.0,62.0,4483.0,0.0,1.0
23,59721.0,98.0,84043.0,343.0,299.0
