time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,72384.0,23.0,126884.0,559.0,508.0
1,8685.0,9.0,38338.0,161.0,138.0
2,57579.0,11.0,4079.0,0.0,0.0
3,57151.0,20.0,3796.0,0.0,0.0
4,56540.0,18.0,3800.0,1.0,0.0
5,45814.0,12.0,3752.0,0.0,0.0
6,13990.0,1.0,3612.0,0.0,0.0
7,54130.0,20.0,3804.0,0.0,0.0
8,53909.0,14.0,3800.0,0.0,0.0
9,52781.0,19.0,3801.0,0.0,0.0
10,40897.0,15.0,3800.0,0.0,2.0
11,28295.0,10.0,3796.0,0.0,0.0
12,43347.0,4.0,3732.0,0.0,0.0
13,53739.0,19.0,3584.0,876.0,727.0
14,51012.0,212.0,3700.0,0.0,0.0
15,63172.0,138.0,14696.0,49.0,163.0
16,20318.0,12.0,3588.0,0.0,0.0
17,41141.0,6.0,3632.0,0.0,0.0
18,54645.0,27.0,3632.0,0.0,0.0
19,56694.0,27.0,3632.0,0.0,1.0
20,55779.0,31.0,58222.0,246.0,215.0
21,5995.0,1.0,3921.0,0.0,0.0
22,55053.0,37.0,3910.0,0.0,0.0
23,53322.0,26.0,3962.0,0.0,0.0
