time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,53725.0,20.0,2805.0,5199.0,320.0
1,55416.0,13.0,4369.0,43166.0,308.0
2,54525.0,0.0,4708.0,103214.0,97.0
3,58096.0,8.0,4321.0,53682.0,423.0
4,72615.0,29.0,4299.0,7939.0,573.0
5,71649.0,19.0,4279.0,7956.0,406.0
6,59247.0,11.0,4245.0,7915.0,558.0
7,51511.0,17.0,4198.0,7870.0,593.0
8,51239.0,13.0,4185.0,7897.0,555.0
9,50380.0,23.0,4175.0,7830.0,596.0
10,50348.0,30.0,4170.0,7824.0,588.0
11,57164.0,16.0,4159.0,7815.0,443.0
12,68266.0,23.0,4132.0,7584.0,725.0
13,69257.0,35.0,4216.0,7813.0,548.0
14,63307.0,31.0,4211.0,7877.0,599.0
15,55356.0,218.0,29999.0,91779.0,256.0
16,55248.0,154.0,47000.0,155331.0,31.0
17,55506.0,83.0,13595.0,36881.0,250.0
18,65602.0,102.0,41898.0,63465.0,603.0
19,72309.0,46.0,42001.0,147831.0,0.0
20,72932.0,32.0,32472.0,111339.0,21.0
21,59765.0,141.0,4469.0,93078.0,291.0
22,55761.0,32.0,4769.0,141046.0,3.0
23,54369.0,29.0,4114.0,15995.0,481.0
