time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,53834.0,108.0,295167.0,82290.0,644.0
1,71344.0,33.0,43053.0,18779.0,480.0
2,73847.0,47.0,43249.0,18836.0,553.0
3,69968.0,98.0,43737.0,18977.0,524.0
4,53930.0,112.0,43731.0,18739.0,646.0
5,148400.0,112.0,44019.0,19017.0,375.0
6,112703.0,100.0,10382.0,9906.0,409.0
7,75047.0,103.0,4321.0,8065.0,577.0
8,72138.0,101.0,4325.0,8076.0,587.0
9,68545.0,115.0,4315.0,8071.0,610.0
10,55286.0,122.0,4222.0,7958.0,678.0
11,52122.0,100.0,4153.0,7923.0,561.0
12,55018.0,27.0,27003.0,7506.0,858.0
13,55045.0,19.0,6814.0,7644.0,745.0
14,71476.0,12238.0,21751.0,7721.0,685.0
15,60986.0,556116.0,4248.0,19148.0,412.0
16,83170.0,252.0,4609.0,112335.0,92.0
17,80839.0,22.0,4123.0,8049.0,410.0
18,80694.0,23.0,4234.0,8092.0,527.0
19,63724.0,19.0,4142.0,7997.0,609.0
20,62695.0,31.0,4094.0,7946.0,619.0
21,62068.0,13.0,4118.0,7958.0,638.0
22,60694.0,20.0,4056.0,7901.0,629.0
23,73994.0,72.0,4076.0,7909.0,478.0
