time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,90659.0,185.0,41888.0,150651.0,1.0
1,103652.0,159.0,41963.0,149355.0,14.0
2,87209.0,17.0,58094.0,37212.0,351.0
3,96648.0,40.0,23467.0,14874.0,444.0
4,76276.0,147.0,4252.0,8045.0,574.0
5,90702.0,90.0,4293.0,8069.0,382.0
6,79573.0,134.0,4249.0,8047.0,542.0
7,73367.0,114.0,4278.0,20825.0,506.0
8,76634.0,112.0,4205.0,7953.0,525.0
9,71348.0,117.0,4234.0,7951.0,504.0
10,76208.0,80.0,4177.0,7962.0,557.0
11,68298.0,29.0,4142.0,7782.0,430.0
12,76066.0,47.0,4478.0,7571.0,731.0
13,79475.0,78.0,75094.0,7759.0,568.0
14,84406.0,40.0,4141.0,7675.0,637.0
15,80513.0,38.0,4183.0,8691.0,421.0
16,157361.0,38.0,4281.0,8260.0,460.0
17,140744.0,48.0,4430.0,8230.0,130.0
18,95323.0,41.0,4133.0,7524.0,678.0
19,79213.0,59.0,53382.0,8104.0,478.0
20,70289.0,67.0,67748.0,10833.0,18998.0
21,77104.0,52.0,58561.0,18966.0,132056.0
22,68971.0,67.0,10111.0,21918.0,3564.0
23,60956.0,99.0,35776.0,156724.0,41.0
