time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,95016.0,11.0,50246.0,35587.0,365.0
1,81912.0,4.0,4209.0,20180.0,523.0
2,81306.0,13.0,4712.0,102018.0,135.0
3,81100.0,1.0,4216.0,9119.0,559.0
4,72561.0,6.0,4229.0,8056.0,671.0
5,66638.0,11.0,4174.0,8024.0,602.0
6,63800.0,17.0,4179.0,7993.0,673.0
7,69804.0,31.0,4291.0,30523.0,575.0
8,64653.0,23.0,4218.0,8042.0,637.0
9,73808.0,22.0,4263.0,8081.0,614.0
10,78307.0,10.0,4292.0,8116.0,574.0
11,76753.0,5.0,4188.0,8055.0,497.0
12,71639.0,4.0,4115.0,8024.0,589.0
13,145366.0,2.0,36105.0,7942.0,693.0
14,109350.0,5.0,4075.0,8013.0,599.0
15,111067.0,4.0,4068.0,7802.0,517.0
16,76093.0,33.0,15496.0,7864.0,643.0
17,65486.0,47.0,4117.0,7995.0,478.0
18,64445.0,15.0,34703.0,7995.0,572.0
19,81981.0,18.0,4217.0,8081.0,489.0
20,82533.0,37.0,11189.0,8061.0,475.0
21,79770.0,115.0,4551.0,81017.0,166.0
22,79569.0,115.0,4218.0,8000.0,557.0
23,94890.0,52.0,14941.0,52961.0,492.0
