time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,52027.0,81.0,4015.0,7594.0,596.0
1,51850.0,18.0,4081.0,7747.0,590.0
2,52094.0,34.0,4111.0,7643.0,647.0
3,62409.0,46.0,4152.0,10498.0,554.0
4,74980.0,59.0,4418.0,59275.0,434.0
5,70078.0,76.0,4249.0,7904.0,402.0
6,52181.0,81.0,4165.0,7828.0,613.0
7,50216.0,69.0,4163.0,7813.0,625.0
8,49921.0,87.0,4152.0,7804.0,544.0
9,49570.0,93.0,4163.0,7780.0,546.0
10,48523.0,66.0,4133.0,7780.0,556.0
11,59124.0,85.0,4182.0,7775.0,438.0
12,61269.0,54.0,4207.0,7811.0,417.0
13,63518.0,70.0,4412.0,7864.0,480.0
14,54576.0,34.0,4134.0,7434.0,893.0
15,130816.0,16.0,4178.0,7975.0,624.0
16,119372.0,32.0,4526.0,8203.0,412.0
17,77926.0,22.0,4370.0,8022.0,428.0
18,79660.0,80.0,33931.0,8092.0,551.0
19,74361.0,86.0,5562.0,8059.0,572.0
20,56888.0,52.0,4295.0,7986.0,682.0
21,55699.0,67.0,4329.0,7953.0,695.0
22,57106.0,85.0,4265.0,7920.0,720.0
23,54067.0,60.0,4227.0,7918.0,644.0
