time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,83776.0,35.0,4219.0,17041.0,525.0
1,69961.0,38.0,4174.0,18463.0,570.0
2,87682.0,18.0,4233.0,11111.0,514.0
3,86302.0,42.0,4251.0,8054.0,480.0
4,84268.0,103.0,4259.0,8084.0,611.0
5,82618.0,57.0,4244.0,8121.0,475.0
6,108271.0,58.0,4307.0,8220.0,524.0
7,158223.0,46.0,4383.0,8412.0,417.0
8,123504.0,51.0,4531.0,8391.0,291.0
9,76780.0,42.0,4245.0,8107.0,553.0
10,73178.0,32.0,4204.0,8076.0,588.0
11,64634.0,17.0,4036.0,7723.0,703.0
12,71873.0,5.0,4063.0,7833.0,710.0
13,80495.0,7.0,4091.0,7896.0,618.0
14,81216.0,38.0,4201.0,8042.0,544.0
15,80371.0,15.0,4181.0,8073.0,473.0
16,78105.0,0.0,4200.0,8101.0,603.0
17,87700.0,7.0,4153.0,7998.0,512.0
18,79176.0,17.0,30674.0,7975.0,659.0
19,74303.0,51.0,4397.0,59846.0,367.0
20,71098.0,14.0,4189.0,8036.0,600.0
21,68966.0,5.0,4140.0,8024.0,603.0
22,65989.0,35.0,4284.0,30209.0,473.0
23,79290.0,20.0,4248.0,32027.0,463.0
