time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,54370.0,73.0,4547.0,91404.0,136.0
1,160252.0,123.0,5046.0,142506.0,95.0
2,127825.0,62.0,4778.0,139438.0,12.0
3,71368.0,103.0,4455.0,93916.0,318.0
4,60371.0,104.0,4213.0,7911.0,642.0
5,56941.0,91.0,4193.0,7892.0,508.0
6,58207.0,49.0,4214.0,7883.0,600.0
7,70831.0,45.0,4285.0,7946.0,527.0
8,66939.0,47.0,4267.0,7904.0,496.0
9,63163.0,93.0,4229.0,7917.0,515.0
10,49804.0,85.0,4202.0,7764.0,600.0
11,49266.0,65.0,4143.0,7778.0,498.0
12,49695.0,72.0,4242.0,7892.0,564.0
13,50483.0,99.0,4211.0,7823.0,595.0
14,68588.0,107.0,4048.0,7417.0,853.0
15,75729.0,123.0,4198.0,7793.0,588.0
16,73260.0,49.0,4254.0,7963.0,620.0
17,75380.0,32.0,105827.0,14436.0,133684.0
18,58578.0,47.0,12035.0,10104.0,8761.0
19,59988.0,561799.0,4515.0,61941.0,261.0
20,56207.0,14387.0,4764.0,143734.0,1.0
21,53984.0,47.0,3192.0,28337.0,383.0
22,,,,,
23,28084.0,1.0,1284.0,2382.0,88.0
