time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,55902.0,51.0,4771.0,151656.0,4.0
1,60449.0,275.0,57970.0,94957.0,295.0
2,66086.0,120.0,4193.0,18537.0,560.0
3,59235.0,39.0,4233.0,18480.0,540.0
4,66110.0,71.0,4342.0,18622.0,545.0
5,70497.0,56.0,4381.0,18858.0,401.0
6,69236.0,42.0,4374.0,18765.0,493.0
7,58030.0,29.0,3938.0,9103.0,549.0
8,52540.0,41.0,4208.0,7914.0,620.0
9,52019.0,41.0,4185.0,7909.0,613.0
10,51975.0,38.0,4156.0,7900.0,615.0
11,51516.0,31.0,4157.0,7914.0,535.0
12,57851.0,15.0,4135.0,7785.0,642.0
13,91702.0,7.0,14460.0,7612.0,680.0
14,59200.0,247677.0,4096.0,7734.0,690.0
15,81806.0,359945.0,37339.0,8042.0,352.0
16,57081.0,29.0,4085.0,7917.0,619.0
17,58109.0,22.0,4057.0,7861.0,471.0
18,91878.0,20.0,4078.0,7827.0,629.0
19,63129.0,30.0,4091.0,7984.0,550.0
20,64560.0,39.0,4099.0,8001.0,543.0
21,91980.0,26.0,4234.0,8141.0,454.0
22,85093.0,27.0,4212.0,8043.0,525.0
23,69260.0,25.0,15574.0,8051.0,495.0
