time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,99559.0,78.0,24528.0,132248.0,30.0
1,104552.0,92.0,12340.0,30937.0,416.0
2,151077.0,141.0,36934.0,57614.0,246.0
3,103185.0,59.0,4389.0,27927.0,312.0
4,88811.0,50.0,4329.0,13805.0,540.0
5,95172.0,85.0,4328.0,14782.0,481.0
6,81179.0,56.0,4257.0,8095.0,563.0
7,91774.0,73.0,4334.0,8166.0,504.0
8,93505.0,57.0,4257.0,8122.0,531.0
9,84802.0,65.0,4173.0,41062.0,662.0
10,91394.0,70.0,4741.0,143153.0,122.0
11,78134.0,13.0,26767.0,122330.0,112.0
12,180720.0,89.0,5262.0,106074.0,97.0
13,160438.0,67.0,35622.0,141367.0,19.0
14,95768.0,6.0,4813.0,139503.0,2.0
15,88882.0,18.0,36938.0,141540.0,27.0
16,86166.0,11.0,36240.0,100980.0,274.0
17,95158.0,11.0,29655.0,8063.0,383.0
18,78675.0,12.0,4109.0,7936.0,504.0
19,95651.0,3.0,15719.0,8032.0,494.0
20,77704.0,7.0,4129.0,7943.0,486.0
21,101312.0,58.0,4432.0,57946.0,243.0
22,105404.0,55.0,11571.0,46221.0,402.0
23,129233.0,43.0,39107.0,84683.0,25.0
