time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,64349.0,26.0,4304.0,18278.0,558.0
1,79759.0,41.0,17709.0,64589.0,351.0
2,62939.0,40.0,4207.0,42585.0,557.0
3,57867.0,69.0,47781.0,62852.0,336.0
4,52829.0,137.0,4255.0,7933.0,705.0
5,52154.0,154.0,4280.0,7919.0,598.0
6,51633.0,137.0,4336.0,9339.0,661.0
7,51025.0,129.0,4310.0,7885.0,666.0
8,66913.0,131.0,4405.0,8000.0,578.0
9,64683.0,131.0,4406.0,7996.0,604.0
10,58588.0,135.0,4280.0,7929.0,603.0
11,47353.0,105.0,4164.0,7852.0,552.0
12,48123.0,223.0,4189.0,7838.0,563.0
13,48508.0,259.0,4155.0,7750.0,534.0
14,54984.0,69.0,11899.0,7214.0,936.0
15,61991.0,24.0,35820.0,8138.0,642.0
16,69475.0,79.0,35586.0,51674.0,346.0
17,73243.0,95.0,43068.0,156353.0,0.0
18,74582.0,97.0,43111.0,143883.0,6.0
19,72495.0,32.0,14847.0,10909.0,473.0
20,63366.0,29.0,4139.0,7815.0,491.0
21,54681.0,22.0,3973.0,7551.0,488.0
22,59899.0,23.0,4110.0,14082.0,556.0
23,57751.0,321.0,13975.0,18603.0,411.0
