time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_lighting,power_stove
0,90627.0,75.0,65502.0,18990.0,400.0
1,95527.0,88.0,4176.0,18676.0,448.0
2,160664.0,42.0,4584.0,46733.0,191.0
3,155717.0,28.0,4609.0,8470.0,108.0
4,79943.0,46.0,4263.0,8124.0,586.0
5,70819.0,95.0,4197.0,8043.0,537.0
6,67295.0,92.0,4212.0,8013.0,656.0
7,65158.0,75.0,4174.0,7996.0,642.0
8,64839.0,65.0,4145.0,8001.0,595.0
9,64770.0,40.0,4135.0,8012.0,601.0
10,79006.0,20.0,4208.0,8106.0,559.0
11,80107.0,23.0,4098.0,8094.0,440.0
12,80400.0,20.0,4091.0,8080.0,532.0
13,76061.0,19.0,3903.0,7644.0,807.0
14,85963.0,11.0,12914.0,7653.0,913.0
15,83453.0,11.0,16355.0,8020.0,493.0
16,81987.0,24.0,3852.0,7525.0,860.0
17,104374.0,17.0,77291.0,8318.0,251.0
18,69785.0,17.0,4063.0,8043.0,567.0
19,83536.0,13.0,43659.0,8259.0,591.0
20,85197.0,14.0,4086.0,9062.0,517.0
21,70769.0,19.0,4091.0,8000.0,622.0
22,69439.0,23.0,4098.0,7984.0,631.0
23,69779.0,85.0,4216.0,28799.0,416.0
