time_stamp,day,power_refrigerator
19,1,7743.0
20,1,89767.0
21,1,99833.0
22,1,81988.0
23,1,56506.0
0,2,54423.0
1,2,64051.0
2,2,107124.0
3,2,93010.0
4,2,50697.0
5,2,47676.0
6,2,66801.0
7,2,21716.0
8,2,
9,2,
10,2,
11,2,
12,2,
13,2,
14,2,
15,2,
16,2,
17,2,
18,2,
19,2,
20,2,
21,2,
22,2,
23,2,
0,3,
1,3,
2,3,
3,3,
4,3,
5,3,
6,3,
7,3,
8,3,
9,3,
10,3,
11,3,
12,3,
13,3,
14,3,
15,3,
16,3,
17,3,
18,3,
19,3,
20,3,
21,3,
22,3,
23,3,
0,4,
1,4,
2,4,127592.0
3,4,56723.0
4,4,80912.0
5,4,81411.0
6,4,78577.0
7,4,77406.0
8,4,64316.0
9,4,57971.0
10,4,54902.0
11,4,69786.0
12,4,99411.0
13,4,86320.0
14,4,79727.0
15,4,55116.0
16,4,58730.0
17,4,57252.0
18,4,80186.0
19,4,
20,4,
21,4,
22,4,
23,4,
0,5,
1,5,
2,5,99709.0
3,5,159072.0
4,5,69760.0
5,5,74685.0
6,5,92867.0
7,5,99864.0
8,5,94033.0
9,5,63230.0
10,5,106797.0
11,5,98025.0
12,5,108592.0
13,5,54876.0
14,5,59961.0
15,5,89456.0
16,5,97139.0
17,5,76809.0
18,5,60666.0
19,5,57834.0
20,5,99555.0
21,5,98573.0
22,5,75808.0
23,5,69623.0
0,6,87743.0
1,6,122726.0
2,6,149391.0
3,6,94483.0
4,6,107536.0
5,6,168804.0
6,6,160388.0
7,6,61761.0
8,6,54805.0
9,6,62592.0
10,6,78751.0
11,6,79459.0
12,6,82319.0
13,6,82344.0
14,6,59713.0
15,6,62190.0
16,6,82173.0
17,6,86621.0
18,6,87792.0
19,6,68713.0
20,6,59695.0
21,6,58659.0
22,6,94947.0
23,6,94432.0
0,7,81216.0
1,7,59760.0
2,7,58831.0
3,7,110106.0
4,7,94900.0
5,7,75986.0
6,7,58162.0
7,7,63868.0
8,7,84467.0
9,7,87213.0
10,7,83762.0
11,7,76922.0
12,7,57287.0
13,7,54260.0
14,7,80592.0
15,7,84465.0
16,7,87829.0
17,7,71550.0
18,7,61600.0
19,7,63452.0
20,7,89737.0
21,7,100359.0
22,7,87886.0
23,7,63750.0
0,8,68626.0
1,8,110668.0
2,8,95269.0
3,8,62573.0
4,8,63128.0
5,8,108056.0
6,8,99624.0
7,8,60663.0
8,8,56525.0
9,8,100527.0
10,8,101066.0
11,8,66029.0
12,8,58486.0
13,8,75594.0
14,8,96597.0
15,8,96041.0
16,8,62842.0
17,8,64751.0
18,8,90114.0
19,8,109930.0
20,8,74221.0
21,8,63157.0
22,8,90502.0
23,8,114981.0
0,9,69814.0
1,9,62230.0
2,9,94841.0
3,9,112854.0
4,9,68196.0
5,9,59146.0
6,9,93565.0
7,9,106413.0
8,9,71113.0
9,9,58835.0
10,9,83478.0
11,9,104502.0
12,9,77652.0
13,9,58442.0
14,9,75468.0
15,9,106328.0
16,9,86681.0
17,9,61291.0
18,9,71758.0
19,9,114377.0
20,9,87830.0
21,9,90799.0
22,9,124229.0
23,9,98574.0
0,10,62381.0
1,10,63753.0
2,10,106706.0
3,10,183610.0
4,10,125692.0
5,10,133250.0
6,10,84826.0
7,10,56708.0
8,10,55248.0
9,10,65743.0
10,10,87111.0
11,10,88104.0
12,10,74671.0
13,10,104314.0
14,10,56259.0
15,10,55294.0
16,10,81821.0
17,10,94618.0
18,10,87965.0
19,10,60152.0
20,10,60624.0
21,10,91436.0
22,10,105355.0
23,10,105346.0
0,11,104270.0
1,11,77527.0
2,11,64347.0
3,11,59580.0
4,11,77368.0
5,11,74217.0
6,11,73031.0
7,11,70875.0
8,11,52304.0
9,11,53488.0
10,11,48803.0
11,11,103927.0
12,11,92958.0
13,11,66134.0
14,11,55106.0
15,11,54098.0
16,11,72286.0
17,11,83984.0
18,11,86384.0
19,11,81501.0
20,11,60784.0
21,11,60792.0
22,11,71620.0
23,11,146010.0
0,12,172655.0
1,12,120600.0
2,12,125324.0
3,12,167790.0
4,12,95977.0
5,12,115147.0
6,12,74867.0
7,12,55920.0
8,12,69435.0
9,12,94187.0
10,12,89682.0
11,12,86898.0
12,12,56567.0
13,12,232693.0
14,12,84222.0
15,12,92136.0
16,12,88426.0
17,12,57692.0
18,12,57041.0
19,12,61275.0
20,12,90891.0
21,12,92240.0
22,12,81669.0
23,12,101658.0
0,13,77982.0
1,13,44945.0
2,13,
3,13,
4,13,
5,13,
6,13,
7,13,
8,13,
9,13,
10,13,
11,13,
12,13,
13,13,
14,13,
15,13,
16,13,
17,13,
18,13,
19,13,
20,13,
21,13,
22,13,
23,13,
0,14,
1,14,
2,14,
3,14,
4,14,
5,14,
6,14,
7,14,
8,14,
9,14,
10,14,
11,14,
12,14,
13,14,
14,14,
15,14,
16,14,
17,14,
18,14,
19,14,
20,14,
21,14,
22,14,
23,14,
0,15,
1,15,
2,15,
3,15,
4,15,
5,15,
6,15,
7,15,
8,15,
9,15,
10,15,
11,15,
12,15,
13,15,
14,15,
15,15,
16,15,
17,15,
18,15,
19,15,
20,15,
21,15,
22,15,
23,15,
0,16,
1,16,
2,16,
3,16,
4,16,
5,16,
6,16,
7,16,
8,16,
9,16,
10,16,
11,16,
12,16,
13,16,
14,16,
15,16,
16,16,
17,16,
18,16,
19,16,
20,16,
21,16,
22,16,
23,16,
0,17,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
0,18,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
0,19,
1,19,
2,19,
3,19,
4,19,
5,19,1086.0
6,19,116428.0
7,19,104798.0
8,19,98300.0
9,19,68371.0
10,19,62861.0
11,19,126720.0
12,19,109865.0
13,19,111179.0
14,19,93808.0
15,19,74135.0
16,19,75135.0
17,19,86816.0
18,19,116517.0
19,19,121016.0
20,19,91121.0
21,19,77686.0
22,19,102197.0
23,19,142154.0
0,20,135225.0
1,20,79872.0
2,20,118281.0
3,20,110830.0
4,20,94356.0
5,20,64080.0
6,20,65950.0
7,20,99093.0
8,20,102986.0
9,20,87306.0
10,20,69263.0
11,20,100425.0
12,20,87257.0
13,20,57922.0
14,20,15811.0
15,20,
16,20,
17,20,
18,20,
19,20,
20,20,
21,20,
22,20,
23,20,
0,21,
1,21,
2,21,
3,21,
4,21,
5,21,
6,21,
7,21,
8,21,
9,21,49688.0
10,21,64771.0
11,21,103511.0
12,21,129711.0
13,21,116271.0
14,21,69346.0
15,21,67261.0
16,21,95863.0
17,21,116873.0
18,21,104944.0
19,21,70028.0
20,21,67563.0
21,21,114154.0
22,21,122368.0
23,21,85802.0
0,22,77219.0
1,22,147810.0
2,22,192524.0
3,22,217521.0
4,22,143496.0
5,22,115097.0
6,22,77172.0
7,22,61150.0
8,22,59984.0
9,22,92663.0
10,22,93198.0
11,22,89970.0
12,22,79747.0
13,22,130513.0
14,22,64306.0
15,22,59724.0
16,22,69874.0
17,22,93999.0
18,22,91367.0
19,22,91104.0
20,22,73216.0
21,22,59058.0
22,22,57288.0
23,22,80007.0
0,23,88900.0
1,23,87894.0
2,23,86651.0
3,23,68481.0
4,23,58366.0
5,23,54711.0
6,23,79118.0
7,23,83939.0
8,23,87848.0
9,23,83889.0
10,23,68667.0
11,23,54236.0
12,23,52734.0
13,23,82962.0
14,23,84284.0
15,23,100370.0
16,23,97373.0
17,23,89258.0
18,23,71988.0
19,23,53295.0
20,23,20264.0
21,23,63887.0
22,23,78544.0
23,23,79980.0
0,24,102182.0
1,24,147673.0
2,24,109230.0
3,24,86983.0
4,24,61570.0
5,24,59503.0
6,24,71587.0
7,24,89623.0
8,24,87790.0
9,24,95411.0
10,24,62407.0
11,24,68896.0
12,24,59094.0
13,24,88133.0
14,24,85296.0
15,24,83733.0
16,24,80578.0
17,24,54970.0
18,24,53533.0
19,24,61669.0
20,24,86062.0
21,24,86350.0
22,24,87532.0
23,24,77184.0
0,25,70824.0
1,25,37453.0
