time_stamp,day,power_refrigerator
13,1,3563.0
14,1,134014.0
15,1,116762.0
16,1,54328.0
17,1,46438.0
18,1,46377.0
19,1,60233.0
20,1,55216.0
21,1,64486.0
22,1,56097.0
23,1,5820.0
0,2,66865.0
1,2,56326.0
2,2,23852.0
3,2,60451.0
4,2,57728.0
5,2,49928.0
6,2,39973.0
7,2,45883.0
8,2,19211.0
9,2,50929.0
10,2,47805.0
11,2,56636.0
12,2,53576.0
13,2,54557.0
14,2,47288.0
15,2,15708.0
16,2,45792.0
17,2,46914.0
18,2,54161.0
19,2,47157.0
20,2,48842.0
21,2,50888.0
22,2,47134.0
23,2,
0,3,48688.0
1,3,28347.0
2,3,34272.0
3,3,43743.0
4,3,48413.0
5,3,46677.0
6,3,133826.0
7,3,108968.0
8,3,57719.0
9,3,44786.0
10,3,47128.0
11,3,48870.0
12,3,46888.0
13,3,17788.0
14,3,39266.0
15,3,45259.0
16,3,47236.0
17,3,46251.0
18,3,47114.0
19,3,45538.0
20,3,36798.0
21,3,57345.0
22,3,22740.0
23,3,33229.0
0,4,50527.0
1,4,50552.0
2,4,49126.0
3,4,50728.0
4,4,50040.0
5,4,31535.0
6,4,22539.0
7,4,48335.0
8,4,50058.0
9,4,47008.0
10,4,45757.0
11,4,48279.0
12,4,49970.0
13,4,41694.0
14,4,13576.0
15,4,50938.0
16,4,48738.0
17,4,50455.0
18,4,49113.0
19,4,47558.0
20,4,48389.0
21,4,4223.0
22,4,
23,4,1882.0
0,5,48870.0
1,5,53599.0
2,5,97996.0
3,5,115895.0
4,5,53888.0
5,5,43976.0
6,5,45068.0
7,5,46022.0
8,5,42467.0
9,5,10276.0
10,5,53915.0
11,5,28655.0
12,5,52073.0
13,5,44671.0
14,5,47376.0
15,5,49346.0
16,5,45358.0
17,5,14292.0
18,5,44293.0
19,5,42338.0
20,5,50200.0
21,5,47061.0
22,5,50726.0
23,5,28119.0
0,6,49953.0
1,6,26801.0
2,6,49402.0
3,6,54351.0
4,6,46686.0
5,6,38964.0
6,6,30237.0
7,6,35293.0
8,6,49244.0
9,6,45686.0
10,6,49032.0
11,6,44394.0
12,6,33857.0
13,6,17670.0
14,6,50569.0
15,6,47129.0
16,6,76512.0
17,6,42867.0
18,6,64552.0
19,6,44765.0
20,6,63487.0
21,6,187888.0
22,6,65212.0
23,6,58728.0
0,7,27865.0
1,7,76939.0
2,7,5709.0
3,7,74960.0
4,7,37343.0
5,7,44248.0
6,7,72828.0
7,7,6112.0
8,7,70624.0
9,7,6560.0
10,7,69688.0
11,7,41286.0
12,7,44855.0
13,7,74147.0
14,7,5501.0
15,7,82293.0
16,7,70888.0
17,7,47132.0
18,7,92790.0
19,7,61463.0
20,7,103258.0
21,7,6044.0
22,7,103796.0
23,7,6237.0
0,8,101965.0
1,8,6168.0
2,8,88027.0
3,8,39492.0
4,8,44400.0
5,8,75536.0
6,8,6422.0
7,8,72439.0
8,8,118195.0
9,8,157155.0
10,8,16082.0
11,8,75170.0
12,8,67552.0
13,8,5425.0
14,8,74236.0
15,8,63760.0
16,8,14655.0
17,8,70666.0
18,8,57014.0
19,8,76483.0
20,8,28414.0
21,8,41387.0
22,8,30432.0
23,8,59721.0
0,9,66621.0
1,9,31211.0
2,9,40930.0
3,9,64984.0
4,9,32453.0
5,9,39606.0
6,9,62458.0
7,9,18522.0
8,9,50033.0
9,9,59947.0
10,9,40159.0
11,9,83113.0
12,9,75814.0
13,9,5736.0
14,9,91565.0
15,9,62373.0
16,9,5609.0
17,9,85366.0
18,9,63000.0
19,9,5935.0
20,9,81407.0
21,9,51112.0
22,9,177316.0
23,9,39669.0
0,10,78215.0
1,10,5887.0
2,10,77675.0
3,10,37789.0
4,10,42165.0
5,10,73866.0
6,10,6471.0
7,10,60667.0
8,10,6561.0
9,10,69896.0
10,10,46685.0
11,10,29936.0
12,10,69911.0
13,10,5873.0
14,10,75323.0
15,10,46397.0
16,10,32423.0
17,10,74933.0
18,10,5750.0
19,10,77814.0
20,10,18940.0
21,10,65414.0
22,10,79661.0
23,10,5862.0
0,11,78752.0
1,11,38430.0
2,11,44974.0
3,11,75579.0
4,11,6380.0
5,11,74703.0
6,11,60537.0
7,11,22088.0
8,11,74582.0
9,11,15338.0
10,11,72808.0
11,11,52547.0
12,11,59748.0
13,11,190957.0
14,11,48022.0
15,11,76772.0
16,11,19990.0
17,11,59070.0
18,11,73614.0
19,11,6550.0
20,11,69982.0
21,11,71865.0
22,11,34006.0
23,11,54520.0
0,12,84714.0
1,12,76133.0
2,12,5869.0
3,12,85451.0
4,12,71337.0
5,12,20749.0
6,12,57673.0
7,12,70108.0
8,12,36782.0
9,12,40617.0
10,12,67772.0
11,12,40996.0
12,12,40398.0
13,12,46086.0
14,12,63802.0
15,12,60567.0
16,12,29941.0
17,12,36603.0
18,12,60499.0
19,12,60668.0
20,12,62177.0
21,12,7656.0
22,12,62933.0
23,12,65480.0
0,13,76729.0
1,13,185497.0
2,13,27551.0
3,13,75950.0
4,13,66053.0
5,13,6529.0
6,13,67811.0
7,13,65842.0
8,13,6598.0
9,13,63714.0
10,13,62152.0
11,13,73525.0
12,13,6135.0
13,13,75701.0
14,13,47875.0
15,13,24006.0
16,13,66115.0
17,13,50033.0
18,13,62108.0
19,13,53078.0
20,13,72065.0
21,13,8261.0
22,13,61358.0
23,13,71947.0
0,14,62177.0
1,14,17257.0
2,14,49530.0
