time_stamp,day,power_dishwaser
13,1,113.0
14,1,425.0
15,1,8.0
16,1,10.0
17,1,8.0
18,1,5.0
19,1,24.0
20,1,22.0
21,1,16.0
22,1,273.0
23,1,213.0
0,2,552467.0
1,2,470791.0
2,2,83603.0
3,2,49.0
4,2,14.0
5,2,8.0
6,2,6.0
7,2,8.0
8,2,4.0
9,2,13.0
10,2,22.0
11,2,20.0
12,2,32.0
13,2,81.0
14,2,29.0
15,2,10.0
16,2,21.0
17,2,25.0
18,2,53.0
19,2,41.0
20,2,32.0
21,2,78.0
22,2,23.0
23,2,
0,3,61.0
1,3,34.0
2,3,17.0
3,3,31.0
4,3,23.0
5,3,25.0
6,3,515.0
7,3,107.0
8,3,33.0
9,3,17.0
10,3,40.0
11,3,34.0
12,3,31.0
13,3,26.0
14,3,13.0
15,3,29.0
16,3,29.0
17,3,32.0
18,3,27.0
19,3,23.0
20,3,25.0
21,3,29.0
22,3,26.0
23,3,10.0
0,4,42.0
1,4,60.0
2,4,36.0
3,4,47.0
4,4,45.0
5,4,28.0
6,4,4.0
7,4,40.0
8,4,57.0
9,4,38.0
10,4,25.0
11,4,69.0
12,4,60.0
13,4,55.0
14,4,6.0
15,4,64.0
16,4,47.0
17,4,95.0
18,4,45.0
19,4,52.0
20,4,43.0
21,4,0.0
22,4,
23,4,0.0
0,5,64.0
1,5,40.0
2,5,447.0
3,5,139.0
4,5,38.0
5,5,24.0
6,5,33.0
7,5,26.0
8,5,22.0
9,5,9.0
10,5,31.0
11,5,8.0
12,5,46.0
13,5,23.0
14,5,41.0
15,5,38.0
16,5,46.0
17,5,16.0
18,5,31.0
19,5,33.0
20,5,46.0
21,5,34.0
22,5,62.0
23,5,34.0
0,6,49.0
1,6,13.0
2,6,41.0
3,6,55.0
4,6,37.0
5,6,38.0
6,6,13.0
7,6,17.0
8,6,37.0
9,6,24.0
10,6,34.0
11,6,26.0
12,6,25.0
13,6,4.0
14,6,40.0
15,6,54.0
16,6,521974.0
17,6,458076.0
18,6,82970.0
19,6,283.0
20,6,60.0
21,6,374.0
22,6,7.0
23,6,18.0
0,7,3.0
1,7,33.0
2,7,4.0
3,7,60.0
4,7,74.0
5,7,11.0
6,7,44.0
7,7,0.0
8,7,32.0
9,7,0.0
10,7,30.0
11,7,26.0
12,7,22.0
13,7,82.0
14,7,0.0
15,7,50.0
16,7,252.0
17,7,248.0
18,7,394.0
19,7,49.0
20,7,560571.0
21,7,418015.0
22,7,42.0
23,7,1.0
0,8,155.0
1,8,0.0
2,8,79.0
3,8,34.0
4,8,18.0
5,8,48.0
6,8,0.0
7,8,32.0
8,8,424.0
9,8,261.0
10,8,2.0
11,8,118.0
12,8,73.0
13,8,0.0
14,8,99.0
15,8,113.0
16,8,13.0
17,8,105.0
18,8,61.0
19,8,102.0
20,8,44.0
21,8,29.0
22,8,62.0
23,8,98.0
0,9,208037.0
1,9,690646.0
2,9,185132.0
3,9,27.0
4,9,18.0
5,9,7.0
6,9,19.0
7,9,14.0
8,9,7.0
9,9,12.0
10,9,30.0
11,9,38.0
12,9,26.0
13,9,2.0
14,9,196831.0
15,9,432324.0
16,9,4700.0
17,9,37.0
18,9,27.0
19,9,1.0
20,9,26.0
21,9,153.0
22,9,425.0
23,9,4.0
0,10,15.0
1,10,1.0
2,10,27.0
3,10,13.0
4,10,7.0
5,10,34.0
6,10,0.0
7,10,9.0
8,10,0.0
9,10,15.0
10,10,10.0
11,10,2.0
12,10,19.0
13,10,0.0
14,10,23.0
15,10,17.0
16,10,5.0
17,10,22.0
18,10,0.0
19,10,35.0
20,10,22.0
21,10,10.0
22,10,36.0
23,10,1.0
0,11,27.0
1,11,172.0
2,11,9.0
3,11,23.0
4,11,0.0
5,11,26.0
6,11,36.0
7,11,3.0
8,11,27.0
9,11,14.0
10,11,30.0
11,11,7.0
12,11,32.0
13,11,526.0
14,11,3.0
15,11,32.0
16,11,12.0
17,11,12.0
18,11,38.0
19,11,5.0
20,11,20.0
21,11,39.0
22,11,30.0
23,11,12.0
0,12,68.0
1,12,32.0
2,12,1.0
3,12,83.0
4,12,32.0
5,12,21.0
6,12,9.0
7,12,19.0
8,12,31.0
9,12,2.0
10,12,58.0
11,12,18.0
12,12,16.0
13,12,12.0
14,12,30.0
15,12,30.0
16,12,13.0
17,12,5.0
18,12,24.0
19,12,24.0
20,12,27.0
21,12,5.0
22,12,16.0
23,12,23.0
0,13,112.0
1,13,487.0
2,13,1.0
3,13,462863.0
4,13,563353.0
5,13,84387.0
6,13,31.0
7,13,38.0
8,13,0.0
9,13,19.0
10,13,27.0
11,13,33.0
12,13,1.0
13,13,11.0
14,13,12.0
15,13,268.0
16,13,643.0
17,13,200.0
18,13,267.0
19,13,72.0
20,13,102.0
21,13,144.0
22,13,30.0
23,13,148.0
0,14,82.0
1,14,28.0
2,14,139710.0
3,14,713301.0
4,14,213977.0
5,14,19.0
6,14,5.0
7,14,39.0
8,14,17.0
9,14,24.0
10,14,63.0
11,14,32.0
12,14,83.0
13,14,2.0
14,14,104.0
15,14,651.0
16,14,38.0
17,14,58.0
18,14,48.0
19,14,68.0
20,14,69.0
21,14,125.0
22,14,59.0
23,14,66.0
0,15,0.0
1,15,54.0
2,15,94.0
3,15,24.0
4,15,33.0
5,15,56.0
6,15,28.0
7,15,10.0
8,15,42.0
9,15,29.0
10,15,0.0
11,15,56.0
12,15,31.0
13,15,50.0
14,15,41.0
15,15,0.0
16,15,76.0
17,15,55.0
18,15,11.0
19,15,47.0
20,15,52.0
21,15,71.0
22,15,2.0
23,15,69.0
0,16,67.0
1,16,0.0
2,16,71.0
3,16,58.0
4,16,0.0
5,16,62.0
6,16,52.0
7,16,23.0
8,16,582.0
9,16,45.0
10,16,52.0
11,16,320076.0
12,16,456017.0
13,16,169465.0
14,16,28.0
15,16,26.0
16,16,33.0
17,16,13.0
18,16,15.0
19,16,29.0
20,16,28.0
21,16,1.0
22,16,
23,16,
0,17,
1,17,
2,17,
3,17,
4,17,
5,17,
6,17,
7,17,
8,17,
9,17,
10,17,
11,17,
12,17,
13,17,
14,17,
15,17,
16,17,
17,17,
18,17,
19,17,
20,17,
21,17,
22,17,
23,17,
0,18,
1,18,
2,18,
3,18,
4,18,
5,18,
6,18,
7,18,
8,18,
9,18,
10,18,
11,18,
12,18,
13,18,
14,18,
15,18,
16,18,
17,18,
18,18,
19,18,
20,18,
21,18,
22,18,
23,18,
0,19,
1,19,
2,19,
3,19,
4,19,
5,19,
6,19,
7,19,
8,19,
9,19,
10,19,
11,19,
12,19,
13,19,
14,19,0.0
15,19,19.0
16,19,19.0
17,19,1.0
18,19,20.0
19,19,22.0
20,19,479.0
21,19,95.0
22,19,31.0
23,19,18.0
0,20,23.0
1,20,9.0
2,20,11.0
3,20,20.0
4,20,18.0
5,20,12.0
6,20,1.0
7,20,20.0
8,20,14.0
9,20,19.0
10,20,15.0
11,20,10.0
12,20,4.0
13,20,19.0
14,20,212.0
15,20,138.0
16,20,12.0
17,20,6.0
18,20,27.0
19,20,27.0
20,20,31.0
21,20,1.0
22,20,37.0
23,20,26.0
0,21,40.0
1,21,27.0
2,21,19.0
3,21,0.0
4,21,25.0
5,21,31.0
6,21,27.0
7,21,25.0
8,21,1.0
9,21,24.0
10,21,13.0
11,21,44.0
12,21,84.0
13,21,524.0
14,21,324.0
15,21,62.0
16,21,343.0
17,21,67.0
18,21,37.0
19,21,27.0
20,21,28.0
21,21,35.0
22,21,25.0
23,21,32.0
0,22,194908.0
1,22,691264.0
2,22,230687.0
3,22,2.0
4,22,17.0
5,22,29.0
6,22,24.0
7,22,2.0
8,22,24.0
9,22,21.0
10,22,51.0
11,22,59.0
12,22,53.0
