time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,54200.0,40.0,3834.0,0.0,0.0
1,52628.0,27.0,3859.0,0.0,0.0
2,48092.0,19.0,81925.0,410.0,307.0
3,6120.0,0.0,3800.0,0.0,0.0
4,59067.0,25.0,3800.0,0.0,0.0
5,53815.0,31.0,3800.0,0.0,1.0
6,54197.0,27.0,3800.0,0.0,0.0
7,50493.0,25.0,3796.0,1.0,1.0
8,6578.0,1.0,3800.0,0.0,0.0
9,53434.0,24.0,3796.0,0.0,2.0
10,47163.0,13.0,3780.0,0.0,0.0
11,57830.0,44.0,3806.0,641.0,539.0
12,54320.0,84.0,50603.0,215.0,181.0
13,138777.0,524.0,36997.0,190.0,274.0
14,106790.0,324.0,3939.0,0.0,0.0
15,57833.0,62.0,66045.0,278.0,244.0
16,38298.0,343.0,46861.0,193.0,163.0
17,39921.0,67.0,81604.0,364.0,313.0
18,59083.0,37.0,3632.0,0.0,0.0
19,58660.0,27.0,3636.0,0.0,0.0
20,45265.0,28.0,29089.0,112.0,221.0
21,58346.0,35.0,3640.0,0.0,2.0
22,16150.0,25.0,3577.0,0.0,0.0
23,46239.0,32.0,3901.0,0.0,0.0
