time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,96110.0,194908.0,3753.0,32.0,0.0
1,55114.0,691264.0,3857.0,32.0,0.0
2,52145.0,230687.0,4148.0,0.0,1.0
3,27469.0,2.0,4191.0,0.0,0.0
4,66744.0,17.0,4018.0,0.0,0.0
5,66769.0,29.0,3800.0,0.0,0.0
6,52479.0,24.0,3796.0,0.0,0.0
7,10573.0,2.0,3800.0,0.0,0.0
8,64557.0,24.0,3800.0,0.0,1.0
9,54602.0,21.0,3726.0,0.0,140.0
10,31611.0,51.0,98104.0,425.0,365.0
11,48574.0,59.0,60801.0,1140.0,963.0
12,43555.0,53.0,52372.0,219.0,190.0
13,62047.0,103.0,3648.0,0.0,0.0
14,53984.0,68.0,3632.0,0.0,0.0
15,5568.0,0.0,3568.0,0.0,0.0
16,59684.0,107.0,3636.0,0.0,1.0
17,53315.0,75.0,3632.0,0.0,0.0
18,57982.0,86.0,3632.0,0.0,0.0
19,53028.0,78.0,3624.0,0.0,0.0
20,35080.0,69.0,3612.0,0.0,0.0
21,27566.0,28.0,3592.0,0.0,0.0
22,60812.0,91.0,62875.0,252.0,218.0
23,118495.0,264.0,245873.0,1166.0,988.0
