time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,50527.0,42.0,3813.0,0.0,0.0
1,50552.0,60.0,3799.0,0.0,0.0
2,49126.0,36.0,3800.0,0.0,0.0
3,50728.0,47.0,3800.0,0.0,1.0
4,50040.0,45.0,3800.0,0.0,0.0
5,31535.0,28.0,3800.0,0.0,0.0
6,22539.0,4.0,3804.0,0.0,0.0
7,48335.0,40.0,3796.0,0.0,0.0
8,50058.0,57.0,3804.0,0.0,2.0
9,47008.0,38.0,3800.0,0.0,1.0
10,45757.0,25.0,3698.0,615.0,504.0
11,48279.0,69.0,70772.0,302.0,385.0
12,49970.0,60.0,56718.0,241.0,205.0
13,41694.0,55.0,3612.0,0.0,2.0
14,13576.0,6.0,3580.0,0.0,0.0
15,50938.0,64.0,3628.0,0.0,2.0
16,48738.0,47.0,3624.0,0.0,0.0
17,50455.0,95.0,19846.0,82.0,70.0
18,49113.0,45.0,3628.0,0.0,0.0
19,47558.0,52.0,76167.0,329.0,282.0
20,48389.0,43.0,22322.0,84.0,73.0
21,4223.0,0.0,2684.0,0.0,0.0
22,,,,,
23,1882.0,0.0,1176.0,0.0,0.0
