time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,46590.0,20.0,84851.0,372.0,318.0
1,34258.0,15.0,3851.0,0.0,0.0
2,30403.0,8.0,3800.0,0.0,0.0
3,53262.0,17.0,3800.0,0.0,2.0
4,53737.0,23.0,3800.0,0.0,0.0
5,54271.0,25.0,3800.0,0.0,1.0
6,21642.0,29.0,3800.0,0.0,1.0
7,39259.0,2.0,3804.0,0.0,0.0
8,52743.0,16.0,3796.0,0.0,0.0
9,52653.0,22.0,3800.0,0.0,0.0
10,57354.0,43.0,93387.0,410.0,496.0
11,12822.0,10.0,36665.0,719.0,594.0
12,43966.0,8.0,3620.0,0.0,0.0
13,50772.0,13.0,3628.0,0.0,0.0
14,50028.0,15.0,3632.0,0.0,0.0
15,50199.0,14.0,3580.0,0.0,0.0
16,37197.0,10.0,3608.0,0.0,0.0
17,19091.0,5.0,3584.0,0.0,0.0
18,52898.0,31.0,3624.0,0.0,1.0
19,51358.0,14.0,3624.0,0.0,0.0
20,51670.0,22.0,3628.0,0.0,0.0
21,35794.0,18.0,2920.0,0.0,2.0
22,,,,,
23,,,,,
