time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,78215.0,15.0,3825.0,0.0,0.0
1,5887.0,1.0,74708.0,325.0,277.0
2,77675.0,27.0,3796.0,0.0,1.0
3,37789.0,13.0,3800.0,0.0,0.0
4,42165.0,7.0,3796.0,0.0,0.0
5,73866.0,34.0,3800.0,0.0,2.0
6,6471.0,0.0,3724.0,0.0,0.0
7,60667.0,9.0,3540.0,0.0,0.0
8,6561.0,0.0,3800.0,0.0,0.0
9,69896.0,15.0,3800.0,0.0,0.0
10,46685.0,10.0,3859.0,736.0,603.0
11,29936.0,2.0,99203.0,436.0,504.0
12,69911.0,19.0,37231.0,457.0,379.0
13,5873.0,0.0,3568.0,0.0,0.0
14,75323.0,23.0,3660.0,0.0,0.0
15,46397.0,17.0,3616.0,0.0,0.0
16,32423.0,5.0,3612.0,0.0,0.0
17,74933.0,22.0,3660.0,0.0,0.0
18,5750.0,0.0,3568.0,0.0,0.0
19,77814.0,35.0,3664.0,0.0,1.0
20,18940.0,22.0,3584.0,0.0,1.0
21,65414.0,10.0,3648.0,0.0,0.0
22,79661.0,36.0,3780.0,0.0,0.0
23,5862.0,1.0,3800.0,0.0,0.0
