time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,67970.0,65.0,91338.0,396.0,336.0
1,26780.0,27.0,4216.0,0.0,0.0
2,67461.0,82.0,72468.0,314.0,274.0
3,41013.0,38.0,3967.0,0.0,0.0
4,41246.0,45.0,4048.0,0.0,0.0
5,41086.0,52.0,4126.0,0.0,0.0
6,61375.0,88.0,4194.0,0.0,0.0
7,53829.0,55.0,4231.0,0.0,0.0
8,40226.0,44.0,4205.0,0.0,0.0
9,43574.0,52.0,4062.0,0.0,0.0
10,39249.0,45.0,3985.0,0.0,0.0
11,52112.0,45.0,26261.0,109.0,283.0
12,63121.0,111.0,33459.0,174.0,146.0
13,47200.0,40.0,64594.0,270.0,232.0
14,43349.0,61.0,4149.0,0.0,1.0
15,41525.0,78.0,4166.0,349.0,268.0
16,41423.0,54.0,3615.0,0.0,0.0
17,41429.0,59.0,3612.0,0.0,0.0
18,42151.0,47.0,3780.0,0.0,1.0
19,43840.0,63.0,3909.0,0.0,0.0
20,192264.0,651.0,4350.0,0.0,8.0
21,72702.0,73.0,4411.0,0.0,0.0
22,60713.0,58.0,77845.0,335.0,282.0
23,63560.0,57.0,27395.0,106.0,92.0
