time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,78752.0,27.0,3804.0,0.0,0.0
1,38430.0,172.0,74835.0,324.0,278.0
2,44974.0,9.0,3804.0,0.0,0.0
3,75579.0,23.0,3800.0,0.0,0.0
4,6380.0,0.0,3800.0,0.0,0.0
5,74703.0,26.0,3800.0,0.0,0.0
6,60537.0,36.0,3804.0,0.0,0.0
7,22088.0,3.0,3800.0,0.0,0.0
8,74582.0,27.0,3800.0,0.0,1.0
9,15338.0,14.0,3804.0,0.0,0.0
10,72808.0,30.0,50209.0,202.0,281.0
11,52547.0,7.0,27119.0,897.0,748.0
12,59748.0,32.0,35034.0,137.0,111.0
13,190957.0,526.0,3736.0,0.0,8.0
14,48022.0,3.0,3632.0,0.0,0.0
15,76772.0,32.0,3664.0,0.0,1.0
16,19990.0,12.0,3583.0,0.0,1.0
17,59070.0,12.0,3644.0,0.0,0.0
18,73614.0,38.0,3656.0,0.0,1.0
19,6550.0,5.0,3560.0,0.0,0.0
20,69982.0,20.0,3656.0,0.0,0.0
21,71865.0,39.0,3652.0,0.0,2.0
22,34006.0,30.0,3789.0,1.0,0.0
23,54520.0,12.0,4277.0,0.0,0.0
