time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,49511.0,53.0,3897.0,0.0,0.0
1,55078.0,58.0,3991.0,0.0,0.0
2,48166.0,44.0,4273.0,0.0,0.0
3,47472.0,59.0,4520.0,0.0,0.0
4,47528.0,58.0,4619.0,0.0,0.0
5,47993.0,55.0,3800.0,0.0,1.0
6,46037.0,53.0,3804.0,0.0,0.0
7,45276.0,44.0,3800.0,0.0,0.0
8,44735.0,48.0,3792.0,0.0,0.0
9,44657.0,51.0,3804.0,0.0,1.0
10,43196.0,54.0,3800.0,0.0,0.0
11,53318.0,63.0,50792.0,212.0,352.0
12,44276.0,35.0,51989.0,1029.0,847.0
13,47463.0,52.0,4564.0,0.0,0.0
14,42820.0,31.0,4426.0,0.0,0.0
15,41754.0,84.0,4086.0,0.0,0.0
16,49836.0,44.0,51421.0,324.0,210.0
17,50688.0,32.0,4274.0,0.0,0.0
18,46070.0,30.0,4441.0,0.0,0.0
19,50092.0,70.0,4381.0,0.0,0.0
20,46031.0,54.0,4360.0,0.0,0.0
21,50424.0,88.0,4354.0,0.0,1.0
22,24807.0,59.0,4346.0,0.0,0.0
23,86395.0,153.0,4252.0,0.0,0.0
