time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,62693.0,327.0,3811.0,128.0,2.0
1,61172.0,105.0,102834.0,457.0,406.0
2,172950.0,684.0,4466.0,0.0,68.0
3,78357.0,108.0,4395.0,0.0,0.0
4,57973.0,73.0,4633.0,0.0,0.0
5,50570.0,73.0,4724.0,0.0,1.0
6,43353.0,520.0,4706.0,0.0,0.0
7,46479.0,480001.0,3720.0,0.0,0.0
8,48894.0,310139.0,3776.0,0.0,2.0
9,46826.0,38.0,3800.0,0.0,0.0
10,46249.0,22.0,116953.0,548.0,602.0
11,41240.0,36.0,4140.0,880.0,720.0
12,47383.0,78.0,35203.0,144.0,120.0
13,43527.0,49.0,3616.0,0.0,0.0
14,39836.0,42.0,3612.0,0.0,0.0
15,43127.0,51.0,3616.0,0.0,0.0
16,40656.0,49.0,51938.0,215.0,183.0
17,44114.0,56.0,3620.0,0.0,0.0
18,42944.0,57.0,3616.0,0.0,1.0
19,41394.0,37.0,3612.0,0.0,0.0
20,42738.0,56.0,3604.0,0.0,2.0
21,41264.0,44.0,3608.0,0.0,0.0
22,38275.0,34.0,3712.0,0.0,0.0
23,50762.0,62.0,3722.0,0.0,1.0
