time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,52234.0,371455.0,62825.0,487.0,352.0
1,64543.0,609464.0,4068.0,61.0,11.0
2,14661.0,91247.0,4414.0,0.0,0.0
3,65933.0,22.0,98347.0,432.0,366.0
4,18203.0,10.0,15696.0,56.0,48.0
5,62239.0,12.0,3804.0,0.0,0.0
6,63157.0,65.0,3796.0,0.0,2.0
7,6629.0,3.0,3800.0,0.0,0.0
8,70277.0,19.0,3800.0,0.0,0.0
9,52683.0,16.0,3800.0,0.0,0.0
10,37585.0,27.0,27742.0,108.0,259.0
11,51916.0,83.0,10792.0,84.0,37.0
12,33369.0,41.0,4098.0,0.0,8.0
13,80626.0,96.0,66025.0,989.0,828.0
14,6081.0,0.0,4007.0,0.0,0.0
15,69522.0,131.0,4157.0,0.0,2.0
16,46503.0,68.0,35744.0,179.0,127.0
17,63739.0,95.0,27222.0,99.0,87.0
18,17906.0,46.0,26387.0,96.0,79.0
19,82138.0,128.0,4131.0,0.0,0.0
20,43643.0,47.0,3970.0,0.0,0.0
21,38870.0,97.0,3896.0,1.0,2.0
22,95035.0,222.0,130301.0,661.0,503.0
23,72914.0,287.0,118840.0,563.0,442.0
