time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,84714.0,68.0,73103.0,363.0,304.0
1,76133.0,32.0,3880.0,0.0,0.0
2,5869.0,1.0,3900.0,0.0,0.0
3,85451.0,83.0,4151.0,58.0,13.0
4,71337.0,32.0,3796.0,0.0,0.0
5,20749.0,21.0,3800.0,0.0,0.0
6,57673.0,9.0,3800.0,0.0,0.0
7,70108.0,19.0,3804.0,0.0,2.0
8,36782.0,31.0,3796.0,0.0,0.0
9,40617.0,2.0,3800.0,0.0,0.0
10,67772.0,58.0,104296.0,468.0,556.0
11,40996.0,18.0,3978.0,0.0,0.0
12,40398.0,16.0,100212.0,1163.0,963.0
13,46086.0,12.0,3752.0,0.0,0.0
14,63802.0,30.0,3644.0,0.0,1.0
15,60567.0,30.0,3636.0,0.0,0.0
16,29941.0,13.0,3596.0,0.0,0.0
17,36603.0,5.0,3612.0,0.0,0.0
18,60499.0,24.0,3640.0,0.0,0.0
19,60668.0,24.0,3632.0,0.0,0.0
20,62177.0,27.0,3640.0,0.0,0.0
21,7656.0,5.0,3584.0,0.0,0.0
22,62933.0,16.0,3800.0,0.0,0.0
23,65480.0,23.0,72811.0,314.0,269.0
