time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
0,65966.0,267622.0,50075.0,209.0,420.0
1,58429.0,148269.0,71691.0,313.0,266.0
2,57807.0,22.0,4149.0,0.0,0.0
3,60842.0,26.0,4366.0,0.0,0.0
4,55789.0,91.0,40499.0,161.0,139.0
5,54273.0,46.0,4021.0,0.0,1.0
6,27280.0,21.0,3800.0,0.0,0.0
7,35544.0,8.0,3800.0,0.0,0.0
8,52237.0,34.0,3796.0,0.0,0.0
9,173096.0,577.0,3801.0,0.0,169.0
10,83007.0,42.0,10524.0,38.0,30.0
11,65328.0,30.0,94938.0,423.0,760.0
12,58626.0,99.0,26191.0,102.0,85.0
13,52483.0,65.0,28281.0,108.0,90.0
14,42524.0,50.0,3883.0,0.0,0.0
15,64895.0,94.0,128786.0,576.0,485.0
16,55694.0,95.0,35161.0,141.0,125.0
17,27861.0,47.0,10570.0,31.0,31.0
18,35961.0,31.0,3720.0,0.0,0.0
19,65540.0,112.0,18037.0,64.0,56.0
20,51535.0,63.0,3628.0,0.0,0.0
21,58467.0,68.0,3676.0,0.0,0.0
22,56881.0,81.0,3800.0,0.0,0.0
23,59129.0,92.0,3779.0,395.0,324.0
