time_stamp,power_refrigerator,power_dishwaser,power_microwave,power_electric_heat,power_stove
2011-04-18 13:00:00,3563.0,113.0,2662.0,522.0,436.0
2011-04-18 14:00:00,134014.0,425.0,27448.0,105.0,255.0
2011-04-18 15:00:00,116762.0,8.0,75297.0,318.0,265.0
2011-04-18 16:00:00,54328.0,10.0,3732.0,0.0,0.0
2011-04-18 17:00:00,46438.0,8.0,3620.0,0.0,0.0
2011-04-18 18:00:00,46377.0,5.0,25930.0,168.0,115.0
2011-04-18 19:00:00,60233.0,24.0,3935.0,52.0,3.0
2011-04-18 20:00:00,55216.0,22.0,75016.0,322.0,276.0
2011-04-18 21:00:00,64486.0,16.0,3976.0,0.0,1.0
2011-04-18 22:00:00,56097.0,273.0,51595.0,310.0,185.0
2011-04-18 23:00:00,5820.0,213.0,223458.0,1075.0,840.0
2011-04-19 00:00:00,66865.0,552467.0,19687.0,75.0,67.0
2011-04-19 01:00:00,56326.0,470791.0,3829.0,0.0,0.0
2011-04-19 02:00:00,23852.0,83603.0,4048.0,0.0,0.0
2011-04-19 03:00:00,60451.0,49.0,4142.0,48.0,22.0
2011-04-19 04:00:00,57728.0,14.0,3800.0,0.0,0.0
2011-04-19 05:00:00,49928.0,8.0,3800.0,0.0,0.0
2011-04-19 06:00:00,39973.0,6.0,3800.0,0.0,0.0
2011-04-19 07:00:00,45883.0,8.0,3792.0,0.0,0.0
2011-04-19 08:00:00,19211.0,4.0,3796.0,0.0,0.0
2011-04-19 09:00:00,50929.0,13.0,3804.0,0.0,1.0
2011-04-19 10:00:00,47805.0,22.0,3800.0,0.0,0.0
2011-04-19 11:00:00,56636.0,20.0,97972.0,1098.0,1079.0
2011-04-19 12:00:00,53576.0,32.0,4090.0,138.0,116.0
2011-04-19 13:00:00,54557.0,81.0,55171.0,232.0,200.0
2011-04-19 14:00:00,47288.0,29.0,3986.0,0.0,1.0
2011-04-19 15:00:00,15708.0,10.0,7266.0,14.0,6.0
2011-04-19 16:00:00,45792.0,21.0,4124.0,0.0,0.0
2011-04-19 17:00:00,46914.0,25.0,4063.0,0.0,0.0
2011-04-19 18:00:00,54161.0,53.0,4125.0,0.0,2.0
2011-04-19 19:00:00,47157.0,41.0,4166.0,0.0,0.0
2011-04-19 20:00:00,48842.0,32.0,4148.0,0.0,0.0
2011-04-19 21:00:00,50888.0,78.0,89133.0,386.0,330.0
2011-04-19 22:00:00,47134.0,23.0,3109.0,0.0,0.0
2011-04-19 23:00:00,,,,,
2011-04-20 00:00:00,48688.0,61.0,17160.0,65.0,60.0
2011-04-20 01:00:00,28347.0,34.0,78582.0,344.0,296.0
2011-04-20 02:00:00,34272.0,17.0,3800.0,0.0,1.0
2011-04-20 03:00:00,43743.0,31.0,3796.0,0.0,0.0
2011-04-20 04:00:00,48413.0,23.0,3800.0,0.0,1.0
2011-04-20 05:00:00,46677.0,25.0,3732.0,0.0,0.0
2011-04-20 06:00:00,133826.0,515.0,3752.0,0.0,192.0
2011-04-20 07:00:00,108968.0,107.0,3804.0,0.0,2.0
2011-04-20 08:00:00,57719.0,33.0,3800.0,0.0,0.0
2011-04-20 09:00:00,44786.0,17.0,3800.0,0.0,0.0
2011-04-20 10:00:00,47128.0,40.0,27588.0,105.0,246.0
2011-04-20 11:00:00,48870.0,34.0,73364.0,315.0,270.0
