time_stamp,power_microwave
2011-04-18 13:00:00,2662.0
2011-04-18 14:00:00,27448.0
2011-04-18 15:00:00,75297.0
2011-04-18 16:00:00,3732.0
2011-04-18 17:00:00,3620.0
2011-04-18 18:00:00,25930.0
2011-04-18 19:00:00,3935.0
2011-04-18 20:00:00,75016.0
2011-04-18 21:00:00,3976.0
2011-04-18 22:00:00,51595.0
2011-04-18 23:00:00,223458.0
2011-04-19 00:00:00,19687.0
2011-04-19 01:00:00,3829.0
2011-04-19 02:00:00,4048.0
2011-04-19 03:00:00,4142.0
2011-04-19 04:00:00,3800.0
2011-04-19 05:00:00,3800.0
2011-04-19 06:00:00,3800.0
2011-04-19 07:00:00,3792.0
2011-04-19 08:00:00,3796.0
2011-04-19 09:00:00,3804.0
2011-04-19 10:00:00,3800.0
2011-04-19 11:00:00,97972.0
2011-04-19 12:00:00,4090.0
2011-04-19 13:00:00,55171.0
2011-04-19 14:00:00,3986.0
2011-04-19 15:00:00,7266.0
2011-04-19 16:00:00,4124.0
2011-04-19 17:00:00,4063.0
2011-04-19 18:00:00,4125.0
2011-04-19 19:00:00,4166.0
2011-04-19 20:00:00,4148.0
2011-04-19 21:00:00,89133.0
2011-04-19 22:00:00,3109.0
2011-04-19 23:00:00,
2011-04-20 00:00:00,17160.0
2011-04-20 01:00:00,78582.0
2011-04-20 02:00:00,3800.0
2011-04-20 03:00:00,3796.0
2011-04-20 04:00:00,3800.0
2011-04-20 05:00:00,3732.0
2011-04-20 06:00:00,3752.0
2011-04-20 07:00:00,3804.0
2011-04-20 08:00:00,3800.0
2011-04-20 09:00:00,3800.0
2011-04-20 10:00:00,27588.0
2011-04-20 11:00:00,73364.0
2011-04-20 12:00:00,59546.0
2011-04-20 13:00:00,3580.0
2011-04-20 14:00:00,3612.0
2011-04-20 15:00:00,3620.0
2011-04-20 16:00:00,3628.0
2011-04-20 17:00:00,3624.0
2011-04-20 18:00:00,3624.0
2011-04-20 19:00:00,3612.0
2011-04-20 20:00:00,3604.0
2011-04-20 21:00:00,231680.0
2011-04-20 22:00:00,3989.0
2011-04-20 23:00:00,71996.0
2011-04-21 00:00:00,3813.0
2011-04-21 01:00:00,3799.0
2011-04-21 02:00:00,3800.0
2011-04-21 03:00:00,3800.0
2011-04-21 04:00:00,3800.0
2011-04-21 05:00:00,3800.0
2011-04-21 06:00:00,3804.0
2011-04-21 07:00:00,3796.0
2011-04-21 08:00:00,3804.0
2011-04-21 09:00:00,3800.0
2011-04-21 10:00:00,3698.0
2011-04-21 11:00:00,70772.0
2011-04-21 12:00:00,56718.0
2011-04-21 13:00:00,3612.0
2011-04-21 14:00:00,3580.0
2011-04-21 15:00:00,3628.0
2011-04-21 16:00:00,3624.0
2011-04-21 17:00:00,19846.0
2011-04-21 18:00:00,3628.0
2011-04-21 19:00:00,76167.0
2011-04-21 20:00:00,22322.0
2011-04-21 21:00:00,2684.0
2011-04-21 22:00:00,
2011-04-21 23:00:00,1176.0
2011-04-22 00:00:00,71519.0
2011-04-22 01:00:00,3808.0
2011-04-22 02:00:00,3804.0
2011-04-22 03:00:00,3800.0
2011-04-22 04:00:00,3800.0
2011-04-22 05:00:00,3800.0
2011-04-22 06:00:00,3800.0
2011-04-22 07:00:00,3800.0
2011-04-22 08:00:00,3800.0
2011-04-22 09:00:00,3800.0
2011-04-22 10:00:00,3768.0
2011-04-22 11:00:00,3730.0
2011-04-22 12:00:00,27792.0
2011-04-22 13:00:00,4274.0
2011-04-22 14:00:00,27622.0
2011-04-22 15:00:00,3624.0
2011-04-22 16:00:00,3620.0
2011-04-22 17:00:00,3576.0
2011-04-22 18:00:00,3616.0
2011-04-22 19:00:00,3592.0
2011-04-22 20:00:00,3624.0
2011-04-22 21:00:00,3624.0
2011-04-22 22:00:00,3628.0
2011-04-22 23:00:00,3596.0
2011-04-23 00:00:00,4085.0
2011-04-23 01:00:00,4259.0
2011-04-23 02:00:00,3696.0
2011-04-23 03:00:00,3804.0
2011-04-23 04:00:00,3796.0
2011-04-23 05:00:00,3800.0
2011-04-23 06:00:00,3800.0
2011-04-23 07:00:00,3800.0
2011-04-23 08:00:00,3798.0
2011-04-23 09:00:00,3800.0
2011-04-23 10:00:00,3736.0
2011-04-23 11:00:00,3624.0
2011-04-23 12:00:00,96687.0
2011-04-23 13:00:00,3864.0
2011-04-23 14:00:00,27531.0
2011-04-23 15:00:00,36334.0
2011-04-23 16:00:00,61070.0
2011-04-23 17:00:00,3795.0
2011-04-23 18:00:00,4217.0
2011-04-23 19:00:00,3676.0
2011-04-23 20:00:00,3654.0
2011-04-23 21:00:00,3768.0
2011-04-23 22:00:00,3652.0
2011-04-23 23:00:00,3636.0
2011-04-24 00:00:00,3600.0
2011-04-24 01:00:00,3664.0
2011-04-24 02:00:00,3572.0
2011-04-24 03:00:00,89872.0
2011-04-24 04:00:00,3800.0
2011-04-24 05:00:00,3796.0
2011-04-24 06:00:00,3800.0
2011-04-24 07:00:00,3532.0
2011-04-24 08:00:00,3800.0
2011-04-24 09:00:00,3796.0
2011-04-24 10:00:00,3800.0
2011-04-24 11:00:00,3796.0
2011-04-24 12:00:00,27258.0
2011-04-24 13:00:00,83445.0
2011-04-24 14:00:00,3564.0
2011-04-24 15:00:00,4128.0
2011-04-24 16:00:00,598178.0
2011-04-24 17:00:00,900333.0
2011-04-24 18:00:00,377885.0
2011-04-24 19:00:00,4063.0
2011-04-24 20:00:00,3933.0
2011-04-24 21:00:00,73868.0
2011-04-24 22:00:00,3886.0
2011-04-24 23:00:00,20924.0
2011-04-25 00:00:00,16439.0
2011-04-25 01:00:00,3803.0
2011-04-25 02:00:00,3796.0
2011-04-25 03:00:00,3806.0
2011-04-25 04:00:00,3796.0
2011-04-25 05:00:00,3800.0
2011-04-25 06:00:00,3796.0
2011-04-25 07:00:00,3800.0
2011-04-25 08:00:00,3800.0
2011-04-25 09:00:00,3800.0
2011-04-25 10:00:00,3882.0
2011-04-25 11:00:00,109418.0
2011-04-25 12:00:00,80796.0
2011-04-25 13:00:00,3568.0
2011-04-25 14:00:00,3656.0
2011-04-25 15:00:00,3640.0
2011-04-25 16:00:00,13207.0
2011-04-25 17:00:00,3660.0
2011-04-25 18:00:00,3632.0
2011-04-25 19:00:00,3656.0
2011-04-25 20:00:00,3700.0
2011-04-25 21:00:00,4540.0
2011-04-25 22:00:00,4483.0
