time_stamp,power_refrigerator
2011-04-18 13:00:00,3563.0
2011-04-18 14:00:00,134014.0
2011-04-18 15:00:00,116762.0
2011-04-18 16:00:00,54328.0
2011-04-18 17:00:00,46438.0
2011-04-18 18:00:00,46377.0
2011-04-18 19:00:00,60233.0
2011-04-18 20:00:00,55216.0
2011-04-18 21:00:00,64486.0
2011-04-18 22:00:00,56097.0
2011-04-18 23:00:00,5820.0
2011-04-19 00:00:00,66865.0
2011-04-19 01:00:00,56326.0
2011-04-19 02:00:00,23852.0
2011-04-19 03:00:00,60451.0
2011-04-19 04:00:00,57728.0
2011-04-19 05:00:00,49928.0
2011-04-19 06:00:00,39973.0
2011-04-19 07:00:00,45883.0
2011-04-19 08:00:00,19211.0
2011-04-19 09:00:00,50929.0
2011-04-19 10:00:00,47805.0
2011-04-19 11:00:00,56636.0
2011-04-19 12:00:00,53576.0
2011-04-19 13:00:00,54557.0
2011-04-19 14:00:00,47288.0
2011-04-19 15:00:00,15708.0
2011-04-19 16:00:00,45792.0
2011-04-19 17:00:00,46914.0
2011-04-19 18:00:00,54161.0
2011-04-19 19:00:00,47157.0
2011-04-19 20:00:00,48842.0
2011-04-19 21:00:00,50888.0
2011-04-19 22:00:00,47134.0
2011-04-19 23:00:00,
2011-04-20 00:00:00,48688.0
2011-04-20 01:00:00,28347.0
2011-04-20 02:00:00,34272.0
2011-04-20 03:00:00,43743.0
2011-04-20 04:00:00,48413.0
2011-04-20 05:00:00,46677.0
2011-04-20 06:00:00,133826.0
2011-04-20 07:00:00,108968.0
2011-04-20 08:00:00,57719.0
2011-04-20 09:00:00,44786.0
2011-04-20 10:00:00,47128.0
2011-04-20 11:00:00,48870.0
2011-04-20 12:00:00,46888.0
2011-04-20 13:00:00,17788.0
2011-04-20 14:00:00,39266.0
2011-04-20 15:00:00,45259.0
2011-04-20 16:00:00,47236.0
2011-04-20 17:00:00,46251.0
2011-04-20 18:00:00,47114.0
2011-04-20 19:00:00,45538.0
2011-04-20 20:00:00,36798.0
2011-04-20 21:00:00,57345.0
2011-04-20 22:00:00,22740.0
2011-04-20 23:00:00,33229.0
2011-04-21 00:00:00,50527.0
2011-04-21 01:00:00,50552.0
2011-04-21 02:00:00,49126.0
2011-04-21 03:00:00,50728.0
2011-04-21 04:00:00,50040.0
2011-04-21 05:00:00,31535.0
2011-04-21 06:00:00,22539.0
2011-04-21 07:00:00,48335.0
2011-04-21 08:00:00,50058.0
2011-04-21 09:00:00,47008.0
2011-04-21 10:00:00,45757.0
2011-04-21 11:00:00,48279.0
2011-04-21 12:00:00,49970.0
2011-04-21 13:00:00,41694.0
2011-04-21 14:00:00,13576.0
2011-04-21 15:00:00,50938.0
2011-04-21 16:00:00,48738.0
2011-04-21 17:00:00,50455.0
2011-04-21 18:00:00,49113.0
2011-04-21 19:00:00,47558.0
2011-04-21 20:00:00,48389.0
2011-04-21 21:00:00,4223.0
2011-04-21 22:00:00,
2011-04-21 23:00:00,1882.0
2011-04-22 00:00:00,48870.0
2011-04-22 01:00:00,53599.0
2011-04-22 02:00:00,97996.0
2011-04-22 03:00:00,115895.0
2011-04-22 04:00:00,53888.0
2011-04-22 05:00:00,43976.0
2011-04-22 06:00:00,45068.0
2011-04-22 07:00:00,46022.0
2011-04-22 08:00:00,42467.0
2011-04-22 09:00:00,10276.0
2011-04-22 10:00:00,53915.0
2011-04-22 11:00:00,28655.0
2011-04-22 12:00:00,52073.0
2011-04-22 13:00:00,44671.0
2011-04-22 14:00:00,47376.0
2011-04-22 15:00:00,49346.0
2011-04-22 16:00:00,45358.0
2011-04-22 17:00:00,14292.0
2011-04-22 18:00:00,44293.0
2011-04-22 19:00:00,42338.0
2011-04-22 20:00:00,50200.0
2011-04-22 21:00:00,47061.0
2011-04-22 22:00:00,50726.0
