time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,1086.0,56.0,417.0,5371.0,278.0
6,116428.0,250.0,2933.0,26284.0,3181.0
7,104798.0,309.0,3040.0,24582.0,3216.0
8,98300.0,287.0,2852.0,24694.0,3067.0
9,68371.0,424.0,2914.0,24379.0,3034.0
10,62861.0,384.0,2890.0,24112.0,3044.0
11,126720.0,517.0,2918.0,35963.0,86178.0
12,109865.0,172.0,2691.0,14065.0,2842.0
13,111179.0,201.0,2661.0,9944.0,2801.0
14,93808.0,239.0,2705.0,9912.0,2750.0
15,74135.0,337.0,2754.0,9898.0,2775.0
16,75135.0,315.0,2645.0,9832.0,2718.0
17,86816.0,218.0,2605.0,9933.0,2635.0
18,116517.0,169.0,2577.0,9956.0,2615.0
19,121016.0,138.0,2591.0,9967.0,2653.0
20,91121.0,207.0,2541.0,9956.0,2551.0
21,77686.0,259.0,2556.0,9917.0,2544.0
22,102197.0,195.0,2572.0,9875.0,2641.0
23,142154.0,117.0,2531.0,9983.0,2623.0
