time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,49688.0,426.0,2769.0,21178.0,2753.0
10,64771.0,399.0,2978.0,22559.0,3152.0
11,103511.0,670.0,3544.0,38493.0,130750.0
12,129711.0,366.0,3081.0,12714.0,2932.0
13,116271.0,218.0,2788.0,9774.0,2983.0
14,69346.0,311.0,2799.0,9868.0,2788.0
15,67261.0,317.0,2736.0,9899.0,2747.0
16,95863.0,221.0,2863.0,9886.0,2939.0
17,116873.0,177.0,2849.0,9901.0,2984.0
18,104944.0,267.0,2844.0,9880.0,3006.0
19,70028.0,360.0,2945.0,9890.0,2918.0
20,67563.0,332.0,2718.0,9830.0,2723.0
21,114154.0,247.0,2836.0,9821.0,3027.0
22,122368.0,164.0,2679.0,9654.0,2791.0
23,85802.0,363.0,2889.0,9856.0,2897.0
