time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,102182.0,38.0,3745.0,42886.0,1248.0
1,147673.0,26.0,3812.0,27083.0,1244.0
2,109230.0,102.0,3833.0,26731.0,1243.0
3,86983.0,164.0,3258.0,51473.0,1729.0
4,61570.0,311.0,3429.0,21898.0,1883.0
5,59503.0,356.0,3417.0,11909.0,1938.0
6,71587.0,206.0,3275.0,11963.0,1812.0
7,89623.0,198.0,3224.0,11963.0,1909.0
8,87790.0,160.0,3237.0,11232.0,1781.0
9,95411.0,396.0,3136.0,10805.0,128071.0
10,62407.0,217.0,3175.0,12198.0,1717.0
11,68896.0,153.0,3420.0,27984.0,1509.0
12,59094.0,196.0,3459.0,24881.0,1467.0
13,88133.0,116.0,2962.0,9871.0,1667.0
14,85296.0,139.0,3020.0,9858.0,1701.0
15,83733.0,130.0,2890.0,9824.0,1593.0
16,80578.0,120.0,2855.0,9835.0,1591.0
17,54970.0,195.0,2981.0,9849.0,1654.0
18,53533.0,209.0,3058.0,9960.0,1632.0
19,61669.0,181.0,3010.0,9849.0,1652.0
20,86062.0,158.0,3051.0,9813.0,1693.0
21,86350.0,186.0,3176.0,9838.0,1787.0
22,87532.0,167.0,3141.0,9832.0,1712.0
23,77184.0,164.0,3490.0,14922.0,1359.0
