time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,88900.0,324.0,3093.0,9981.0,3361.0
1,87894.0,356.0,3116.0,9926.0,3406.0
2,86651.0,344.0,3546.0,9443.0,2869.0
3,68481.0,439.0,3098.0,9968.0,3299.0
4,58366.0,513.0,3114.0,9949.0,3385.0
5,54711.0,504.0,3186.0,9925.0,3430.0
6,79118.0,340.0,2971.0,9960.0,3270.0
7,83939.0,360.0,3095.0,9957.0,3359.0
8,87848.0,581.0,3114.0,9963.0,3366.0
9,83889.0,353.0,3200.0,9947.0,3366.0
10,68667.0,411.0,3162.0,9949.0,3378.0
11,54236.0,465.0,3163.0,29809.0,3380.0
12,52734.0,670.0,3452.0,50174.0,143722.0
13,82962.0,302.0,3739.0,48713.0,2491.0
14,84284.0,334.0,3758.0,47494.0,2496.0
15,100370.0,299.0,3751.0,57342.0,2493.0
16,97373.0,577.0,3989.0,51970.0,2431.0
17,89258.0,386.0,4066.0,109352.0,2480.0
18,71988.0,138.0,3764.0,89837.0,2497.0
19,53295.0,161.0,3754.0,82522.0,1438.0
20,20264.0,31.0,2486.0,49183.0,828.0
21,63887.0,57.0,3758.0,47139.0,1248.0
22,78544.0,75.0,3741.0,71618.0,1252.0
23,79980.0,172.0,3117.0,46966.0,1795.0
