time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,104270.0,232.0,3027.0,46129.0,2109.0
1,77527.0,185.0,3111.0,67002.0,2078.0
2,64347.0,197.0,3116.0,30516.0,2078.0
3,59580.0,539.0,2978.0,19042.0,2099.0
4,77368.0,317.0,3047.0,18821.0,2076.0
5,74217.0,341.0,3062.0,18910.0,2094.0
6,73031.0,260.0,3077.0,18886.0,2075.0
7,70875.0,283.0,3151.0,18383.0,2129.0
8,52304.0,245.0,3156.0,17934.0,2102.0
9,53488.0,227.0,2861.0,18170.0,2342.0
10,48803.0,240.0,2524.0,18655.0,2432.0
11,103927.0,300.0,2464.0,14564.0,111188.0
12,92958.0,156.0,2520.0,20981.0,2649.0
13,66134.0,238.0,2577.0,7781.0,2499.0
14,55106.0,248.0,2631.0,7698.0,2514.0
15,54098.0,196.0,2441.0,7779.0,2351.0
16,72286.0,130.0,2234.0,7811.0,2264.0
17,83984.0,123.0,2185.0,7825.0,2167.0
18,86384.0,76.0,2139.0,7859.0,2112.0
19,81501.0,73.0,2132.0,7735.0,2102.0
20,60784.0,80.0,2099.0,7666.0,2082.0
21,60792.0,152.0,2195.0,7742.0,2158.0
22,71620.0,244.0,2540.0,7899.0,2526.0
23,146010.0,49.0,2825.0,24333.0,2362.0
