time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,81216.0,130.0,2600.0,7898.0,2343.0
1,59760.0,222.0,2715.0,8024.0,2327.0
2,58831.0,182.0,2912.0,6858.0,2249.0
3,110106.0,52.0,3205.0,6404.0,2134.0
4,94900.0,83.0,3195.0,6465.0,2126.0
5,75986.0,98.0,3181.0,5450.0,2113.0
6,58162.0,160.0,3168.0,5266.0,2105.0
7,63868.0,469.0,3201.0,5398.0,2129.0
8,84467.0,881.0,3293.0,6912.0,2477.0
9,87213.0,648.0,2988.0,8152.0,2325.0
10,83762.0,224.0,2823.0,7306.0,2506.0
11,76922.0,357.0,2659.0,7270.0,2396.0
12,57287.0,303.0,2653.0,7903.0,2363.0
13,54260.0,276.0,2784.0,7864.0,2382.0
14,80592.0,181.0,2702.0,7866.0,2366.0
15,84465.0,149.0,2632.0,7845.0,2341.0
16,87829.0,181.0,2719.0,7766.0,2426.0
17,71550.0,185.0,2584.0,7731.0,2320.0
18,61600.0,262.0,2752.0,7744.0,2367.0
19,63452.0,344.0,2608.0,7897.0,2296.0
20,89737.0,172.0,2690.0,7810.0,2338.0
21,100359.0,164.0,2649.0,7784.0,2441.0
22,87886.0,197.0,2466.0,7703.0,2305.0
23,63750.0,280.0,2541.0,7859.0,2350.0
