time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,69814.0,359.0,2691.0,7906.0,2536.0
1,62230.0,295.0,2502.0,7885.0,2345.0
2,94841.0,166.0,2395.0,7906.0,2259.0
3,112854.0,125.0,2507.0,7914.0,2450.0
4,68196.0,384.0,2693.0,7861.0,2560.0
5,59146.0,310.0,2649.0,7828.0,2440.0
6,93565.0,283.0,2787.0,7733.0,2654.0
7,106413.0,178.0,2661.0,7835.0,2566.0
8,71113.0,312.0,2694.0,7828.0,2505.0
9,58835.0,363.0,2715.0,7730.0,2457.0
10,83478.0,295.0,2750.0,7701.0,2601.0
11,104502.0,189.0,2705.0,7660.0,2596.0
12,77652.0,314.0,2773.0,7845.0,2663.0
13,58442.0,302.0,2512.0,7969.0,2309.0
14,75468.0,245.0,2564.0,7821.0,2370.0
15,106328.0,150.0,2609.0,7835.0,2585.0
16,86681.0,187.0,2466.0,7886.0,2360.0
17,61291.0,304.0,2643.0,7923.0,2393.0
18,71758.0,263.0,2683.0,7796.0,2408.0
19,114377.0,124.0,2651.0,7645.0,2480.0
20,87830.0,209.0,2535.0,7770.0,2311.0
21,90799.0,197.0,2469.0,7830.0,2340.0
22,124229.0,120.0,3140.0,65158.0,2117.0
23,98574.0,244.0,3183.0,84819.0,2125.0
