time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,172655.0,4.0,3227.0,100703.0,2159.0
1,120600.0,99.0,3154.0,45806.0,2100.0
2,125324.0,113.0,3123.0,82071.0,2080.0
3,167790.0,3.0,3170.0,74866.0,2112.0
4,95977.0,202.0,3011.0,24971.0,2309.0
5,115147.0,123.0,2444.0,18756.0,2600.0
6,74867.0,249.0,2517.0,18863.0,2619.0
7,55920.0,316.0,2547.0,18456.0,2607.0
8,69435.0,257.0,2577.0,18813.0,2641.0
9,94187.0,167.0,2472.0,18716.0,2600.0
10,89682.0,164.0,2486.0,18550.0,2600.0
11,86898.0,215.0,2573.0,17908.0,2656.0
12,56567.0,250.0,2601.0,8084.0,2489.0
13,232693.0,325.0,2653.0,8046.0,2484.0
14,84222.0,170.0,2522.0,7925.0,2508.0
15,92136.0,137.0,2460.0,7842.0,2416.0
16,88426.0,126.0,2402.0,7789.0,2329.0
17,57692.0,181.0,2305.0,7862.0,2168.0
18,57041.0,204.0,2389.0,7758.0,2295.0
19,61275.0,218.0,2423.0,7812.0,2299.0
20,90891.0,147.0,2373.0,7761.0,2318.0
21,92240.0,151.0,2372.0,7851.0,2426.0
22,81669.0,201.0,2364.0,7958.0,2393.0
23,101658.0,113.0,35426.0,7972.0,1976.0
