time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,87743.0,195.0,3113.0,56889.0,2076.0
1,122726.0,52.0,3163.0,70920.0,2108.0
2,149391.0,74.0,3398.0,203336.0,2540.0
3,94483.0,140.0,3169.0,17555.0,2100.0
4,107536.0,150.0,3063.0,96445.0,2251.0
5,168804.0,508.0,2814.0,69489.0,2586.0
6,160388.0,0.0,2728.0,45831.0,2963.0
7,61761.0,313.0,2798.0,27090.0,2747.0
8,54805.0,376.0,2865.0,23087.0,2818.0
9,62592.0,323.0,2770.0,23393.0,2718.0
10,78751.0,242.0,2567.0,23404.0,2652.0
11,79459.0,432.0,2671.0,27558.0,82218.0
12,82319.0,174.0,2648.0,11564.0,2653.0
13,82344.0,187.0,2567.0,36632.0,2592.0
14,59713.0,311.0,2575.0,89060.0,2582.0
15,62190.0,241.0,2695.0,15631.0,2398.0
16,82173.0,157.0,2587.0,7928.0,2323.0
17,86621.0,207.0,2661.0,7985.0,2436.0
18,87792.0,168.0,2567.0,7944.0,2382.0
19,68713.0,225.0,2520.0,7934.0,2216.0
20,59695.0,215.0,2646.0,7790.0,2213.0
21,58659.0,256.0,2859.0,7844.0,2404.0
22,94947.0,202.0,2777.0,7892.0,2458.0
23,94432.0,135.0,2716.0,7911.0,2334.0
