time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,68626.0,216.0,2366.0,7932.0,2229.0
1,110668.0,89.0,2402.0,7947.0,2274.0
2,95269.0,129.0,2433.0,8051.0,2340.0
3,62573.0,257.0,2492.0,8029.0,2309.0
4,63128.0,289.0,2599.0,7868.0,2392.0
5,108056.0,169.0,2638.0,7948.0,2512.0
6,99624.0,223.0,2785.0,7924.0,2690.0
7,60663.0,383.0,2873.0,7956.0,2605.0
8,56525.0,379.0,2874.0,7812.0,2585.0
9,100527.0,198.0,2783.0,7865.0,2644.0
10,101066.0,197.0,2790.0,7765.0,2611.0
11,66029.0,331.0,2845.0,7661.0,2580.0
12,58486.0,353.0,2687.0,7763.0,2473.0
13,75594.0,273.0,2752.0,7919.0,2539.0
14,96597.0,192.0,2617.0,7997.0,2468.0
15,96041.0,189.0,2612.0,7981.0,2461.0
16,62842.0,291.0,2641.0,7838.0,2364.0
17,64751.0,331.0,2801.0,7827.0,2469.0
18,90114.0,212.0,2735.0,7744.0,2503.0
19,109930.0,147.0,2703.0,7879.0,2568.0
20,74221.0,308.0,2787.0,7904.0,2599.0
21,63157.0,319.0,2692.0,7802.0,2446.0
22,90502.0,248.0,2714.0,7908.0,2551.0
23,114981.0,164.0,2794.0,7955.0,2743.0
