time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,54423.0,73.0,3150.0,31310.0,2100.0
1,64051.0,87.0,3167.0,49898.0,2111.0
2,107124.0,48.0,3235.0,54963.0,2150.0
3,93010.0,47.0,3228.0,38147.0,2139.0
4,50697.0,136.0,2973.0,25339.0,2488.0
5,47676.0,121.0,2667.0,7668.0,2534.0
6,66801.0,101.0,2658.0,7712.0,2616.0
7,21716.0,33.0,771.0,2178.0,756.0
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,,,,,
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
