time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,77219.0,515.0,3676.0,9365.0,2548.0
1,147810.0,94.0,3751.0,35219.0,2493.0
2,192524.0,523.0,4257.0,71872.0,3184.0
3,217521.0,0.0,3783.0,112840.0,2492.0
4,143496.0,239.0,3605.0,129063.0,2610.0
5,115097.0,363.0,2810.0,34876.0,3440.0
6,77172.0,495.0,3053.0,23255.0,3477.0
7,61150.0,587.0,3155.0,23028.0,3496.0
8,59984.0,537.0,3228.0,23013.0,3524.0
9,92663.0,297.0,3118.0,23047.0,3324.0
10,93198.0,363.0,2908.0,23304.0,3315.0
11,89970.0,296.0,2939.0,23781.0,3227.0
12,79747.0,404.0,3007.0,28352.0,3312.0
13,130513.0,173.0,3210.0,34597.0,2961.0
14,64306.0,342.0,2824.0,9441.0,3060.0
15,59724.0,372.0,2808.0,9796.0,2991.0
16,69874.0,389.0,2879.0,9815.0,3093.0
17,93999.0,328.0,2913.0,9876.0,3246.0
18,91367.0,331.0,3028.0,9813.0,3308.0
19,91104.0,337.0,3047.0,9887.0,3389.0
20,73216.0,417.0,3185.0,9935.0,3368.0
21,59058.0,474.0,3183.0,9915.0,3343.0
22,57288.0,503.0,3210.0,9958.0,3397.0
23,80007.0,397.0,3271.0,9965.0,3457.0
