time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,62381.0,254.0,3087.0,27921.0,2082.0
1,63753.0,478.0,3049.0,19573.0,2096.0
2,106706.0,297.0,3114.0,55302.0,2116.0
3,183610.0,741.0,3222.0,110150.0,2171.0
4,125692.0,248.0,2304.0,288291.0,3035.0
5,133250.0,78.0,3052.0,14847.0,2135.0
6,84826.0,267.0,2511.0,44192.0,2641.0
7,56708.0,381.0,2650.0,20682.0,2569.0
8,55248.0,359.0,2641.0,19061.0,2587.0
9,65743.0,327.0,2671.0,19326.0,2651.0
10,87111.0,252.0,2607.0,18756.0,2684.0
11,88104.0,252.0,2627.0,18734.0,2693.0
12,74671.0,307.0,2489.0,25013.0,2576.0
13,104314.0,153.0,2513.0,6889.0,2618.0
14,56259.0,291.0,2579.0,16455.0,2431.0
15,55294.0,256.0,2520.0,7902.0,2372.0
16,81821.0,212.0,2453.0,7948.0,2457.0
17,94618.0,115.0,2261.0,7845.0,2340.0
18,87965.0,101.0,2211.0,7715.0,2317.0
19,60152.0,195.0,2283.0,7771.0,2227.0
20,60624.0,190.0,2312.0,7755.0,2220.0
21,91436.0,141.0,2240.0,7752.0,2240.0
22,105355.0,156.0,2328.0,7886.0,2437.0
23,105346.0,273.0,2078.0,7773.0,2990.0
