time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,135225.0,191.0,3479.0,41114.0,2497.0
1,79872.0,539.0,3678.0,78355.0,2494.0
2,118281.0,207.0,3738.0,55665.0,2483.0
3,110830.0,299.0,3722.0,43581.0,2503.0
4,94356.0,491.0,3029.0,37608.0,3086.0
5,64080.0,390.0,2825.0,25133.0,2950.0
6,65950.0,451.0,2868.0,23344.0,3029.0
7,99093.0,475.0,2797.0,23325.0,3428.0
8,102986.0,531.0,2518.0,23556.0,3698.0
9,87306.0,611.0,2581.0,23394.0,3570.0
10,69263.0,351.0,2765.0,27981.0,3025.0
11,100425.0,258.0,3730.0,106078.0,16589.0
12,87257.0,177.0,3191.0,26502.0,2788.0
13,57922.0,306.0,2835.0,9892.0,2851.0
14,15811.0,0.0,229.0,857.0,267.0
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,,,
23,,,,,
