time_stamp,power_refrigerator,power_dishwaser,power_washer_dryer,power_electric_heat,power_stove
0,,,,,
1,,,,,
2,99709.0,2543.0,1902.0,36926.0,1288.0
3,159072.0,6.0,2519.0,27943.0,2694.0
4,69760.0,363.0,2822.0,20310.0,2666.0
5,74685.0,324.0,2710.0,20359.0,2575.0
6,92867.0,220.0,2768.0,20534.0,2651.0
7,99864.0,203.0,2670.0,19841.0,2600.0
8,94033.0,243.0,2726.0,19647.0,2658.0
9,63230.0,354.0,2715.0,19882.0,2582.0
10,106797.0,175.0,2988.0,25229.0,2282.0
11,98025.0,153.0,3185.0,28950.0,2125.0
12,108592.0,134.0,2869.0,18353.0,2448.0
13,54876.0,241.0,2592.0,5955.0,2359.0
14,59961.0,224.0,2481.0,6053.0,2277.0
15,89456.0,225.0,2697.0,5964.0,2514.0
16,97139.0,161.0,2580.0,6001.0,2446.0
17,76809.0,188.0,2530.0,5843.0,2323.0
18,60666.0,258.0,2537.0,5782.0,2326.0
19,57834.0,236.0,2523.0,5901.0,2291.0
20,99555.0,173.0,2624.0,5827.0,2461.0
21,98573.0,184.0,2737.0,5883.0,2629.0
22,75808.0,237.0,2667.0,5792.0,2409.0
23,69623.0,253.0,2822.0,7057.0,2248.0
