day	hour	value
1	13	3563
1	14	134014
1	15	116762
1	16	54328
1	17	46438
1	18	46377
1	19	60233
1	20	55216
1	21	64486
1	22	56097
1	23	5820
2	0	66865
2	1	56326
2	2	23852
2	3	60451
2	4	57728
2	5	49928
2	6	39973
2	7	45883
2	8	19211
2	9	50929
2	10	47805
2	11	56636
2	12	53576
2	13	54557
2	14	47288
2	15	15708
2	16	45792
2	17	46914
2	18	54161
2	19	47157
2	20	48842
2	21	50888
2	22	47134
2	23	
3	0	48688
3	1	28347
3	2	34272
3	3	43743
3	4	48413
3	5	46677
3	6	133826
3	7	108968
3	8	57719
3	9	44786
3	10	47128
3	11	48870
3	12	46888
3	13	17788
3	14	39266
3	15	45259
3	16	47236
3	17	46251
3	18	47114
3	19	45538
3	20	36798
3	21	57345
3	22	22740
3	23	33229
4	0	50527
4	1	50552
4	2	49126
4	3	50728
4	4	50040
4	5	31535
4	6	22539
4	7	48335
4	8	50058
4	9	47008
4	10	45757
4	11	48279
4	12	49970
4	13	41694
4	14	13576
4	15	50938
4	16	48738
4	17	50455
4	18	49113
4	19	47558
4	20	48389
4	21	4223
4	22	
4	23	1882
5	0	48870
5	1	53599
5	2	97996
5	3	115895
5	4	53888
5	5	43976
5	6	45068
5	7	46022
5	8	42467
5	9	10276
5	10	53915
5	11	28655
5	12	52073
5	13	44671
5	14	47376
5	15	49346
5	16	45358
5	17	14292
5	18	44293
5	19	42338
5	20	50200
5	21	47061
5	22	50726
5	23	28119
6	0	49953
6	1	26801
6	2	49402
6	3	54351
6	4	46686
6	5	38964
6	6	30237
6	7	35293
6	8	49244
6	9	45686
6	10	49032
6	11	44394
6	12	33857
6	13	17670
6	14	50569
6	15	47129
6	16	76512
6	17	42867
6	18	64552
6	19	44765
6	20	63487
6	21	187888
6	22	65212
6	23	58728
7	0	27865
7	1	76939
7	2	5709
7	3	74960
7	4	37343
7	5	44248
7	6	72828
7	7	6112
7	8	70624
7	9	6560
7	10	69688
7	11	41286
7	12	44855
7	13	74147
7	14	5501
7	15	82293
7	16	70888
7	17	47132
7	18	92790
7	19	61463
7	20	103258
7	21	6044
7	22	103796
7	23	6237
8	0	101965
8	1	6168
8	2	88027
8	3	39492
8	4	44400
8	5	75536
8	6	6422
8	7	72439
8	8	118195
8	9	157155
8	10	16082
8	11	75170
8	12	67552
8	13	5425
8	14	74236
8	15	63760
8	16	14655
8	17	70666
8	18	57014
8	19	76483
8	20	28414
8	21	41387
8	22	30432
8	23	59721
9	0	66621
9	1	31211
9	2	40930
9	3	64984
9	4	32453
9	5	39606
9	6	62458
9	7	18522
9	8	50033
9	9	59947
9	10	40159
9	11	83113
9	12	75814
9	13	5736
9	14	91565
9	15	62373
9	16	5609
9	17	85366
9	18	63000
9	19	5935
9	20	81407
9	21	51112
9	22	177316
9	23	39669
10	0	78215
10	1	5887
10	2	77675
10	3	37789
10	4	42165
10	5	73866
10	6	6471
10	7	60667
10	8	6561
10	9	69896
10	10	46685
10	11	29936
10	12	69911
10	13	5873
10	14	75323
10	15	46397
10	16	32423
10	17	74933
10	18	5750
10	19	77814
10	20	18940
10	21	65414
10	22	79661
10	23	5862
11	0	78752
11	1	38430
11	2	44974
11	3	75579
11	4	6380
11	5	74703
11	6	60537
11	7	22088
11	8	74582
11	9	15338
11	10	72808
11	11	52547
11	12	59748
11	13	190957
11	14	48022
11	15	76772
11	16	19990
11	17	59070
11	18	73614
11	19	6550
11	20	69982
11	21	71865
11	22	34006
11	23	54520
12	0	84714
12	1	76133
12	2	5869
12	3	85451
12	4	71337
12	5	20749
12	6	57673
12	7	70108
12	8	36782
12	9	40617
12	10	67772
12	11	40996
12	12	40398
12	13	46086
12	14	63802
12	15	60567
12	16	29941
12	17	36603
12	18	60499
12	19	60668
12	20	62177
12	21	7656
12	22	62933
12	23	65480
13	0	76729
13	1	185497
13	2	27551
13	3	75950
13	4	66053
13	5	6529
13	6	67811
13	7	65842
13	8	6598
13	9	63714
13	10	62152
13	11	73525
13	12	6135
13	13	75701
13	14	47875
13	15	24006
13	16	66115
13	17	50033
13	18	62108
13	19	53078
13	20	72065
13	21	8261
13	22	61358
13	23	71947
14	0	62177
14	1	17257
14	2	49530
14	3	56348
14	4	58350
14	5	31415
14	6	32387
14	7	57737
14	8	54043
14	9	50269
14	10	47701
14	11	21343
14	12	76080
14	13	14334
14	14	59851
14	15	185513
14	16	67119
14	17	64952
14	18	56749
14	19	62811
14	20	58994
14	21	22011
14	22	47360
14	23	64994
15	0	5854
15	1	63117
15	2	62329
15	3	15882
15	4	52383
15	5	61077
15	6	32759
15	7	32550
15	8	61158
15	9	46067
15	10	6402
15	11	66197
15	12	47812
15	13	60416
15	14	50862
15	15	5846
15	16	66707
15	17	50881
15	18	10812
15	19	61061
15	20	54130
15	21	62004
15	22	10050
15	23	60243
16	0	68648
16	1	5986
16	2	64221
16	3	64973
16	4	6527
16	5	64888
16	6	57104
16	7	17366
16	8	190655
16	9	70389
16	10	61640
16	11	57697
16	12	41055
16	13	21071
16	14	57402
16	15	57023
16	16	58356
16	17	20834
16	18	43005
16	19	59075
16	20	59104
16	21	3294
16	22	
16	23	
17	0	
17	1	
17	2	
17	3	
17	4	
17	5	
17	6	
17	7	
17	8	
17	9	
17	10	
17	11	
17	12	
17	13	
17	14	
17	15	
17	16	
17	17	
17	18	
17	19	
17	20	
17	21	
17	22	
17	23	
18	0	
18	1	
18	2	
18	3	
18	4	
18	5	
18	6	
18	7	
18	8	
18	9	
18	10	
18	11	
18	12	
18	13	
18	14	
18	15	
18	16	
18	17	
18	18	
18	19	
18	20	
18	21	
18	22	
18	23	
19	0	
19	1	
19	2	
19	3	
19	4	
19	5	
19	6	
19	7	
19	8	
19	9	
19	10	
19	11	
19	12	
19	13	
19	14	798
19	15	26488
19	16	63308
19	17	15828
19	18	53245
19	19	48691
19	20	133657
19	21	116206
19	22	63256
19	23	34437
20	0	72384
20	1	8685
20	2	57579
20	3	57151
20	4	56540
20	5	45814
20	6	13990
20	7	54130
20	8	53909
20	9	52781
20	10	40897
20	11	28295
20	12	43347
20	13	53739
20	14	51012
20	15	63172
20	16	20318
20	17	41141
20	18	54645
20	19	56694
20	20	55779
20	21	5995
20	22	55053
20	23	53322
21	0	54200
